r,F,theta,tau
3.580433665551586,2.6282962887697523,4.343952129148651,-8.778919639148882
4.912571033659833,1.33356344383083,1.6701386778141676,6.518925020938834
2.7666817342912315,3.887376355430173,0.7204943510730222,7.095766291379039
1.141712682732389,3.951059769275067,3.9970937468808128,-3.405333476844541
1.1640097218680587,3.651508833984631,2.5436883187100854,2.3925948714940213
4.695737821668192,4.873292540767861,3.06018658250522,1.8608155976750127
2.483236945870292,4.937041179577054,1.5937568999786629,12.25661158179195
2.150317321926666,4.796009542536334,1.8552746938152227,9.898446502853677
3.681506230141994,3.2443847579581377,3.701110616700551,-6.339727387179541
2.212501356684432,4.865307070807859,3.2641126293957856,-1.3155689559018815
4.276268560945589,1.1821241265573663,4.591673903935471,-5.01829329971457
4.119682622769698,3.3978398975606767,4.940859399684422,-13.634268904215284
4.189816046524909,3.2586904286950893,3.7450536255381928,-7.748194616363109
3.010621931252188,3.0752516586395275,0.6775908612558623,5.804269468694353
1.142013757398371,4.774232721995832,1.2135439061950808,5.107991545710969
4.79859703086831,3.4435092344121268,4.4715385457292935,-16.047055364367413
1.234768723039926,4.2892384027488575,2.6063748171219148,2.7012214330351805
3.20224429326245,3.709301120008752,2.6833890075866544,5.254127039197287
1.6075808419332756,1.7579485489333582,2.6375850377950893,1.364806192678189
4.239601275458819,4.168634031642506,0.8525538263858512,13.307383443846607
1.899459334645739,3.7492932610195377,3.670005681867035,-3.590465626215957
4.38736815271964,3.047419625814067,4.421314618314211,-12.807751169853631
1.1340889766686613,4.653500078084827,4.3033096080963045,-4.842024311897817
4.894919712888254,1.8903360842652488,4.044888411243692,-7.267074949091614
1.3250281292242785,3.015629857719119,4.037475301593976,-3.119759983724151
4.0979183807746375,2.355333303684787,4.933278177085337,-9.417450017350806
1.2353400264768508,4.261920871026068,2.4704545217075653,3.2741371161277506
3.6514210863958487,2.5409123890414134,2.1552346307235104,7.738008109359272
4.927080332145019,4.080920440909416,2.911070366166226,4.594173746360941
3.415744554740429,1.0340360494968155,4.067145500766597,-2.8219056817935506
2.715069344090958,3.443765740523617,3.5391067873735667,-3.6196664987613993
2.369733447801205,3.841232263623224,0.6582867655334851,5.568688513355287
3.84284929453326,4.500291890242768,1.686151811735526,17.179006770750746
2.826141867647348,4.808300971775145,4.176665610460013,-11.685124670130133
2.072744201882283,1.197404215321391,4.58559169462634,-2.4619878218882607
3.5307837061388847,1.663850993589234,0.6463979818187005,3.5384185808997266
3.081014676976405,1.7140203889701162,4.809411669869849,-5.256085745545214
1.0530449108485005,3.969597231226893,1.6991321767557506,4.145787542721132
4.8430283332939705,2.805031106754052,1.5689730875125258,13.58482254640593
2.31293981959785,1.984101109167156,2.7330189369490308,1.823255892468964
3.858461619856044,2.285809715575628,3.4774468398688296,-2.906762246601403
3.6454176960644618,3.4076972055205554,1.3924284684325794,12.22539188591882
3.9617431154136873,1.4018919484194088,3.371248065844144,-1.2643090282928346
2.2418875405541767,1.1269420223728344,1.9450603063049516,2.351586825823997
3.1411288941736486,1.5782442940855574,3.334438450009864,-0.950112324458005
4.479227451842479,1.125727075237568,0.9276998101142252,4.0351338309063225
3.1788270822889038,2.249215359796385,1.753353033518808,7.031055588679461
4.354576519421775,1.3672343674838108,1.3974696696291793,5.86451902577209
1.3174657523967546,1.0189526051723314,2.488462948010332,0.8157642132871212
3.1639577456751997,3.9201520697900296,3.306854384925877,-2.0404559184541307
1.0312360805263268,4.329547509093128,1.8345684600087253,4.31036368467161
4.151521379608237,2.199850891333236,3.423626527639057,-2.541727169447219
2.177807663244177,2.6566186118712585,3.428839348982751,-1.6391358163735614
2.9202551693243266,4.24558891814015,3.1331078567288144,0.1051949715630131
3.5286744529388856,1.5839396554476508,4.671114817033827,-5.584447307525133
3.003555879933656,4.401601374568445,3.3334123104545195,-2.520420280326688
2.336288057996432,2.3905646204398,1.3250797975779194,5.417291049074833
4.117499428708591,4.714966083409053,0.5648511165415249,10.392051813302272
2.5495851831731127,1.484111405012738,2.473480985265388,2.3441245357399243
1.6963806378158788,1.4988496331338994,0.4568526006179629,1.121614748449647
2.820015256892033,1.315610590735686,0.0669043213258957,0.2480327010995761
1.4447400511504536,1.1122184631150858,4.799033149731248,-1.600838787663426
2.420074916510905,2.7175901869747614,2.7918816017651387,2.2533754182290826
2.2862125128394477,1.778868897224236,2.482694333901092,2.489926973041016
1.5062162021013863,4.627841616878342,3.3398422779185517,-1.3728705822836729
3.8535118810270417,3.5521214777417995,2.088218127082775,11.896328217725944
1.1255330049576764,2.8348609402384604,0.5531658792783223,1.6763569622756511
2.219497393592378,2.7759275546834945,1.9578528449914676,5.705386502300409
3.670968901152245,1.939233471999143,2.78358199374034,2.4945340003952885
2.9938321031376374,2.812072815654256,1.8837473746479156,8.009962279380654
2.5347023636224897,1.467472176841667,2.442596596806262,2.393378120104651
3.361110388525317,1.165458560421015,3.1478298284538124,-0.024432320484562
2.9959852803614617,1.4825018726403465,2.112679303209186,3.805252597497825
4.709597570082894,4.572784377693694,3.2202155301855333,-1.6914763243321849
4.185066081560628,2.7126801106461054,4.03279782053227,-8.830502978859275
4.584439172464909,4.621714577466028,4.130367274994348,-17.699433726603313
3.1335258928760497,2.533554932400832,1.2004664161541123,7.400761959715655
1.2497771281801944,4.067575811917463,2.3952697568377395,3.4514530281320326
3.947269264636125,1.7584634087630144,3.1161425356643946,0.1766334712756658
3.941734043793185,2.7355748078482103,4.194309590893962,-9.367887685031448
4.036799721494404,2.4431413002014137,2.636750907441879,4.77017138226431
3.941789840001658,4.265082344365176,0.4993528288044691,8.05058005130698
2.193350399791331,1.517467700996923,3.1081832341647617,0.1111771680602631
3.829785868248329,4.016168108887326,2.100289299928637,13.274831409992546
1.829843103725325,4.303286009664333,1.77339603353023,7.713282691833393
2.1793194542233665,2.5183845754137804,4.126299838598349,-4.572412269853645
3.1489262356483727,4.250227974097774,0.8104810964658282,9.69804765050314
2.9244139314040627,2.6794840412569885,4.009496732025021,-5.978617315524732
1.8412785181874884,2.9384467359158046,3.990928114826561,-4.062427911640312
3.900858996072168,2.9836998383767974,3.6171763458241033,-5.32899927342623
2.57143431836226,4.937987039957301,2.286738294065278,9.580108521336392
