gamma,kb,A,v,kappa
3.256648652738416,3.1647905018288056,4.936480805313355,1.7507930914914769,0.497391536236919
4.461590309955279,3.79939800934851,3.9960896768443614,1.4501139614020992,0.3982960803426147
3.16098141982878,2.2477351399364016,1.6661298653658023,1.9432738420896585,1.213163283709227
2.1651131968779653,2.3080189937948243,2.3266283400161907,3.560923078703556,3.031843889994483
3.837816837510897,2.3700653759626946,2.116155520038717,4.161729972728172,1.6424882873616953
2.282386927307577,2.7017081259426994,2.993076561829258,3.409802390623183,2.400107708034135
3.20887127536385,2.680966952211741,4.331767709566678,3.732020268989206,1.045682613652791
2.4113067714190537,2.0179644411189592,2.410889791195248,2.005364458318907,1.189345515833911
2.154405198380529,3.379189161213637,3.072326457231195,3.595803012672009,3.4259637304462816
2.852352642759418,3.3217146579867314,4.04114641157048,3.4000904450001577,1.5087752042577869
2.0052855661032285,2.113215577563392,3.781983194771841,3.5220857236552545,1.9576483546297376
3.714143595900088,3.324390160408781,4.036651681338512,2.37443612519037,0.7204741149376154
3.9030286936275416,4.707863618660434,3.441323430743616,3.048272779579821,1.4364842922633936
2.4361020951007983,4.935191558716278,4.151530631040015,3.493378022689454,2.8917186484734674
2.0125015260568166,2.8817376799713763,1.4670568260929788,2.529933172363998,4.9081844111206046
2.0349190302946303,4.8874548729557645,4.025011103849481,1.80428793004916,2.1169721694205355
2.65762300957186,3.30145565357196,3.579675885213401,4.090693869978386,2.27600376090662
2.11926661363354,4.773611629724135,1.8744970803743577,4.6177846624414896,10.506605893592452
4.717065310022838,1.2889920255938625,3.4406884844938683,3.995238829248856,0.4026682902498019
4.501333844630977,4.460128317190208,2.916052803051508,1.5232662146419256,0.6654175602421175
3.121350445320629,4.508827088957967,3.2288556737218683,2.6218469826468938,1.7258771138743525
2.9035176149070265,1.487038945817416,3.317796962999862,1.7632279217830549,0.4151682105051476
2.207152066988046,1.087030934566214,4.444768253850379,2.4110563046013835,0.4884702869410749
4.882088717416341,1.6815543792420211,3.357016704010064,1.097039685589544,0.1415514415600257
4.817309553003938,3.807516166237938,1.315082499666438,4.3778754314149735,3.32043343469222
2.2687276278619253,1.3612451313698584,4.296545407696311,2.7032218768741454,0.6750411218696816
3.164610408079466,4.75654848533811,4.903388918973267,2.2041295863362045,0.987763487792803
2.315082057616616,4.745377628663933,4.139765022506867,1.7735078324635487,1.5458784607218967
2.6823317635702386,4.69427120352491,3.754533910518834,2.829738545277445,2.103036504500716
2.1386406836183163,1.561669889330568,3.908907537758589,3.316406983566869,1.16363014344942
2.78111238038258,4.543392413072132,3.62122576885244,4.358024793311751,3.0698914590186703
3.9505761245186792,4.481270327521505,3.709490290543599,2.060102806731705,0.8434687061382349
2.4958067268573942,4.0637854525158135,3.12464534050195,1.88897745548815,1.6424090663146986
3.583040621619801,3.1198369823799887,2.624223379497958,4.35865489347476,2.00609894520579
4.448369922164453,2.01157853150734,3.986651283925072,1.7560354417045048,0.2569497333659946
4.577533504499733,4.633049941399772,3.465131944186342,2.9662380265500903,1.10858626594513
2.485605904466727,1.530712730312608,3.636538595499263,1.0278461152879,0.2912258857712626
4.624440520346133,3.428052762490951,3.556382593819164,2.0990774778695034,0.5582471486643544
3.932287925082512,2.542981039730428,4.1052334879575305,3.3199806852773954,0.7013490358289464
3.4817859513087788,3.4671965683465102,1.6848587328244502,4.667070509987219,3.869857838965941
3.6489897948913352,3.2885303529113745,4.502562531896357,3.588332476466756,0.989360329022428
2.9541132135214494,4.463711621705828,1.7447673928504397,4.305916330490168,5.637342976842703
2.958688470087832,4.073989269539988,4.804251186972371,4.247540696122719,1.838934905622272
4.651508050313026,1.1274488184334408,4.487352880516081,3.819911974879743,0.2628377285119344
4.930774885006112,1.673532499384384,4.8311596201222535,1.6124859757239682,0.1421021135770396
3.183829766734044,2.3564246381181264,4.35913249455081,1.316684122876539,0.3259239708209951
3.957980727737464,4.9738247355235945,3.72566067202964,2.749247392460255,1.240811077690313
3.559344083421303,3.510001291383954,2.8249468007025538,2.852616182656103,1.3848784809089905
4.3399938254540285,1.3118685406875494,1.7096046457564715,1.6142157115442752,0.3708604614757557
4.698529302257602,1.4047732548539908,2.883351849043565,4.480234852682539,0.5901743154516076
4.695230509943506,1.7394663324476216,3.3923275232514056,1.2497442654642934,0.1734194757361623
4.174985926367402,3.657301488889543,1.271806390646438,2.528771306574638,2.290379829309773
4.462200904137586,4.627374854609662,4.732882095610292,4.065394859357578,1.1480464630561025
4.935408729887595,4.392891992535583,2.142572532790493,3.75954993035433,1.9586687969343035
3.04292090453456,1.2355736227294232,3.594816145011777,1.3301031564471408,0.2237822913893049
2.760315968263702,2.7401348588114858,2.082622296808316,2.837246884528372,2.120644757239506
4.816055487531783,4.748253225905337,4.0531713550312025,1.446614893691708,0.4440963036192207
4.913232738606382,2.1031117336507483,3.6780758963226745,4.224585912189351,0.6172912600807312
3.1914102237802147,1.2103250322236514,3.081756577690163,2.950315782057957,0.5287477142091023
3.476034628053668,3.464697086024884,2.110601435585916,4.924606717923845,3.2649300468116484
2.19402609071876,1.7631393305741474,2.2789326411308672,1.2518285514756382,0.8111219992908003
3.383968643076638,3.013844176739385,1.265772979250309,2.2652474297845293,2.2624556860841767
2.261060508929688,2.733280135857376,4.904286467670237,1.4608801958440214,0.6456348892559409
4.623351523080834,3.5469482487551685,3.430151061429728,2.0562442409301576,0.5868212536672481
3.8194874889075394,1.5572063204232678,1.2073989036389667,1.8514380704257476,0.8469044181785714
2.4537833881875235,2.972534093399857,3.8915144558861656,3.016795430747281,1.5850915688569878
3.554361050557956,3.932213374348096,4.523296701493123,2.7666210118319867,0.9415630082382938
2.7500225711751214,4.116412455058539,4.118360803654081,4.675040075750395,2.670153200097418
3.690406300748323,4.147259536520805,3.2922973094822185,4.504717247855298,2.1091711990171067
2.2376794321914253,3.800179344010066,2.030456591279709,2.509954021750068,3.795491086843538
2.994501162990252,1.2087148905897354,2.7140160677522025,3.671754143578084,0.8198808782453102
4.569776413358636,2.688241760016736,3.839314375404461,3.775293695961396,0.7404988279355729
3.705131537704297,3.4871409659201924,2.0328030123503757,2.563006878167279,1.6253076978776486
4.01165041728388,2.212940145124577,2.611738918830884,1.216536359726864,0.3422633851042747
2.704896800806358,3.2633610924258534,4.021715151413379,3.367246027169951,1.6026200706908291
2.84108624885121,4.693638390937075,4.498465770187174,1.9763384863620157,1.1200370808804485
4.442484780886457,4.67839554498287,3.419437384289626,3.66899053443424,1.4581991619683987
3.669215769823012,4.558371405756571,2.654759359356209,2.3177077763034326,1.4909378593717542
4.002203224433639,2.47903920557426,4.540419029857996,4.602235397300674,0.8369821599553073
4.79824758329032,4.671028998872229,2.103208577950231,2.5679555011814514,1.501531483474358
4.469020526921354,2.6615985572602057,3.2108638603133928,2.159304942860212,0.5159739425807303
2.4660899507232803,3.286241958251531,3.6758919463270687,2.023815050550516,1.2340904855516155
2.4148260771516705,3.71045450528134,4.931581055158302,2.649765152262608,1.4091111903990912
2.5305962170673766,1.628341258233819,1.2176825188392946,1.4444203745866782,1.261956328507409
4.68288011237267,1.7340910377176226,1.1117947630577287,4.0438536351252345,1.7125967526350496
4.39658976943452,4.080738028685769,2.5246817589526347,2.4441642783838025,1.1631061936817173
3.754690318935139,2.2532632462622484,3.143438433494949,2.0736972518314345,0.5396094458963141
2.5378324082435006,3.609888468591311,1.643638180563296,3.737078731377356,5.337167116519452
2.0979139463770435,3.9070413878331576,3.077193170739014,1.3241487575152235,1.5313050946560354
4.081631882778723,1.7770423361410277,2.8046185166516,3.654948254996613,0.7514921556474075
3.33981983826888,2.358980450874077,3.4095136529630445,2.2843337150855643,0.6754746249238591
2.28741450248295,2.9183453856871373,1.1638198401119109,2.4990132931808966,4.86744555052757
3.2208824347189955,4.618705498174453,4.598388614060246,2.3501522628967755,1.062881948920121
4.747537633306662,1.7162464202057803,1.8796028519299253,1.6508287735133416,0.4022254777495997
3.8663671603439607,1.1503145746834438,3.150428799342347,1.6453647355894208,0.2095932630566948
2.1607566987782603,3.8650623480569934,4.652567877754475,1.7174877688197672,1.2291821370796492
4.1781743668297695,4.4258024805843,3.140405174522352,2.769859792428909,1.2282489712686746
3.774821639898324,4.716655466116606,4.661985990963284,2.9161864235009336,1.063269608686788
3.991046683087408,1.0732703171453366,3.6184068220990935,3.464019271472932,0.3435174735487225
3.627652111452622,3.7136073335023823,3.842783205880843,3.683856085442968,1.354830254076834
4.093047314192824,4.589288171355486,4.487163849793204,2.5477504878487154,0.8424492163565372
2.2488406289218608,4.189290734793485,2.245214724688932,4.484982546202208,6.700949691735528
3.3777249495528925,3.761946463533022,4.137497640156477,4.593781866154529,1.75664339016149
2.772036062817393,1.7449596127689757,4.168941886776366,2.5479809149232806,0.6018429160111353
2.676466265470261,3.0749130744131605,3.658973014115375,2.0525232717066406,1.0288851705248103
3.727629174190602,3.538019969502822,2.63414241933925,1.6943918887221066,0.8343524864963843
2.598562374601098,3.03767558603728,2.826215550506796,2.679385185464987,1.801530728098842
2.0240662884519467,4.593880120939517,1.8198576281235308,2.804449199916831,6.912923523470615
2.1230874993194107,1.5258636711488398,1.302614533531508,2.714257724349873,2.830983270335361
3.980554709063558,3.5420579707026176,4.648360795512643,1.3643627539666494,0.3488097309647392
3.758833061645035,3.665117544668066,4.836707789236851,1.6799611041207552,0.4614364124039032
2.615707289471344,2.20464476425887,1.859064132092055,4.180711779719275,3.0685400302176147
4.853794322669776,1.8896561170918316,4.935918355639998,2.3088962523962784,0.2293668743934273
2.532901099048249,3.7766119326430094,4.322087673521262,2.5607634563021358,1.4597017095052984
2.471699215459121,2.715629218966693,4.344783481136217,2.614421212267952,1.110347283588287
2.657776835992291,3.555310217466571,1.1098789330350116,1.227405505269239,2.371722604906522
4.45260288581569,2.7740635355375862,1.6053775752836257,2.565226726248127,1.283861980974957
2.752128745862728,1.6341888351147895,2.1062525701168187,4.397758882222901,1.9474090794452716
2.8136391647423795,4.244340801045409,2.2473240889962502,4.395949110413426,4.577689293945605
