n_0,kb,T,theta,p_d,Ef,n
1.3076760064285062,2.161055957843713,1.70744013986083,2.4237315111931084,2.9754537285484783,1.4327920236486005,0.1696725252892386
2.568496984225475,2.450564416005044,1.501379713440651,2.023245398349875,1.3923461326856574,2.787996372960999,1.383788079091642
2.801360738344416,2.0982692047675675,2.968428096738964,1.0443195954567233,1.1355522712705286,2.2931582636711303,3.3898657241214782
2.8270605462872167,2.5011302785254963,1.0595248706830125,1.1157542432302194,1.5976125573964002,1.1214594429473894,3.6671038446989113
2.3787027234389404,1.2412670743754977,2.515814247634827,2.267369951493709,1.151810676676894,2.4283776411346736,1.0117500139867206
2.180787367064256,1.465117847588613,2.872269396224008,1.4461707109023678,2.426390640419126,2.6814119830582075,2.599891926236592
1.7685731091192995,2.8427314049288173,1.217298285970684,1.2467309900231602,1.4415240001546905,1.1330802304587162,2.0343866061813918
1.8300845950888096,1.3663250507439484,2.086724684668532,2.1999455540929214,1.7931185095653472,1.2874894292470644,0.9580786386350292
1.617351352568177,2.505044887747461,2.6970817413518136,1.98167770050808,1.5490589063596754,1.684600394895149,1.3678420891081755
2.6131920479264954,2.585002909707243,1.8836276786828083,2.136756691841368,1.7679598126934553,1.749951284860027,1.722839519257589
2.39229105063236,2.4969462605246315,2.666306829802396,1.686794835999443,1.8956655447818065,1.289572873193802,2.290623978128586
2.223735368913623,2.819481929897816,1.115030534802218,2.0996167248652893,1.0451966370330716,1.144699227638843,1.7967719237457629
2.13184340718784,1.4882567615148568,2.7980987832722404,2.1498894877171253,1.1433807053974852,2.8953605560729194,1.204360917463669
2.0909578849636525,1.9047167666012528,1.7747773835607337,1.687861766009617,2.7690626776804663,2.4272579826567577,1.6053832269078114
2.840913760892461,1.8140520313307995,2.2951218235458284,2.1208821119255363,1.593059322664126,1.5471628150705397,1.9617431036049795
2.0375379216015768,1.1207404761916675,2.191375701945155,2.725130214512143,2.868976459213368,2.082618848628972,-2.495783328202394
1.9217236043601265,1.736090093433657,1.994978562083429,2.751610525291128,2.753192231196084,1.1567843252020198,0.2872738017681846
1.7083972472379032,1.9298790662904692,2.0270999971607955,1.525497938595075,2.997395764554458,1.2448616752522037,1.7821847810474425
2.422665189609765,1.968549076968639,1.1399323915630373,2.98071380724362,2.3078631876987483,1.1659871162980835,-0.444992124751966
1.6355450066841437,1.959519583915724,1.870632895781881,1.0258547252776706,2.162005706754744,1.979410929363817,2.62536320529868
2.9823161857064804,1.8592576454653185,1.1936138844159907,1.7087797081367535,1.9898800357188209,2.6020437729492176,2.025255383416066
2.88882231340204,1.503760552576098,2.5548944499153023,2.284047616388426,2.522418694217145,2.008552180591864,0.3962732063502306
1.2847263446041808,1.7630904620310386,2.496957531213013,1.2327973661666896,2.976041922606653,2.8640916819535187,2.109557919280904
2.3878291344865064,2.7908376780116977,2.141436189964244,2.700428237972236,2.5586538845265983,1.008246371333117,1.455793112231236
2.734011045368627,2.843701813478352,2.579964333556881,1.006268333161846,1.5182527615299837,1.805052133711986,3.280402633186361
1.4473680299971836,1.7098093153282732,2.0910984171978555,1.9643678992393727,1.2384872540144372,1.5142899345913226,1.1562221005403994
2.975659208168052,1.7469553875464328,2.6335907357444936,2.643869345644874,1.238781861623247,1.1709498392657125,2.1513068128055424
1.4668635143853237,1.182111552011517,1.691136479361446,1.5669501692199292,1.108730365653207,1.992886676325031,1.4730992419839977
2.3191468737978687,1.4371318028580842,2.8528591998152244,1.449295601808176,2.426646339311329,2.5507337209449643,2.743505201131411
2.850417267950183,1.8754768741333296,2.442701478000343,1.0787830557827844,2.037104130097606,2.593541402649881,4.403318512985906
2.037392565980727,1.1582312820177143,2.592507275514317,1.706753367042246,2.213589750948444,1.269427643912017,1.7789717659944937
2.7973206945165767,2.277365707173484,2.0545621111682437,2.3003059966347204,2.945516237362282,1.5982395412252668,0.921478190922706
2.5402066460691746,1.574175281745384,2.509247194955173,1.1561969381750838,1.8448149427163092,2.0611077895396117,3.5252165532434647
1.16886199343119,1.159460667474279,1.3089889956704437,2.7039309842983883,1.3384381568940151,2.094758317572808,-0.7868706456117086
1.6737880170210535,1.730203275520193,2.432907682032573,2.464728098040667,2.678233905178779,2.5829947741426,-0.4705259544699484
1.381357275394989,2.264717874836168,2.496666957624368,2.158722142102089,1.9975514909052752,2.551956381574336,0.6906232969829259
2.64128915026258,1.4725291495010626,2.648269195142191,1.721785306190231,2.698223752604438,1.3189189647004709,2.2787291944509134
1.1480871269631872,2.5200785318035086,1.152645793657011,1.0247482166949935,2.8667188518394795,1.7403611692503151,2.172133166045064
2.414305298236173,2.027190932832076,1.0875245658132309,1.969353302080774,1.2549377333237486,1.1384983324447209,1.807087952689011
2.4171654994865346,1.4775883064497413,2.479714875897427,1.1247180173255085,1.1653124391183127,1.4293694828316663,2.891243008988299
1.1294748152405216,2.250173192863968,1.736414704354585,2.3638539176894704,2.225914399831982,1.1649135640873591,0.5954082243279307
1.0895886391765752,1.444094679434207,1.997904034907936,1.1382561902831605,2.5076125639595195,2.504034869977644,2.083601331868116
2.871224263876835,1.549121949058096,1.694984858502436,1.5448784252521113,2.787650262432212,1.2861290367559002,2.972823332689798
1.0168234215839886,1.441192619365227,2.87664607644488,1.860472263401028,2.1096059035109143,2.723056311459011,0.6143690861783718
1.9423144082505877,1.5261710971914029,1.6446384765882514,2.752724376158429,2.1415983949703765,2.8944783262025684,-2.4963768492811083
2.475152111608971,2.4505315827345786,1.992051052501892,1.9655329404022437,1.795483705497473,1.8361586362610016,1.832312501862379
2.0732487006163502,1.991323878029504,1.694491978145674,1.806696621971037,2.0759941908561235,1.6698915221262771,1.5754229494263037
1.617928966059058,1.708670146782837,1.396525686690321,1.8384057480785736,2.4044148253408366,1.87952132394891,0.807687882028587
2.836516491091926,2.937064334686468,2.779401282214533,1.493895885637369,1.067788813607741,1.3425274878579505,2.8747839701811637
1.956740146133791,2.5113398473474167,2.4429611455802327,2.1426932640994605,2.937117987535246,2.98461853314327,0.4435215234780424
1.921899763331151,1.448063364839032,1.1636914436745842,1.2530393218314304,1.75384428761918,2.117104927659407,3.245024232913296
1.578130893166329,1.029151107612113,2.065830193143755,1.3316476904539147,2.257702269105887,2.790309028154236,2.685796107101501
2.3367966810168426,1.3469674018350013,2.1274346409652054,2.404161483252829,2.53394312529959,1.1158251676106417,0.6301300963742672
1.400052066057359,1.620465170047802,2.2029573155784963,1.3813637507221797,1.732905955511394,2.689277217790337,1.7442142116773114
2.4234281870287475,2.208361323810365,1.5258851982152033,2.273361471104499,1.4902508709608202,1.8380012955992768,1.1505255421184453
2.2927174829909536,2.084665135951135,1.2179376364249717,1.7245924812511777,1.4580753906892194,1.1354790610054863,2.063693827157979
2.328839846608157,1.4574251621735532,2.3301752110225245,1.7351440064564791,2.4090340313166725,2.5417840696539287,1.6418455621478962
1.9979447727367632,2.3842544758201285,1.5127266628621487,1.3700390687451849,2.347304219333483,2.8810257070361924,2.7449729565076386
2.486332825430844,1.586898625187281,2.176802075224942,1.088875249692138,2.279000130220375,1.7658579938751224,3.828864137800221
1.1954223447465568,1.204636969411631,2.4437798414259717,2.7284002661040248,1.4619577732559097,2.696777061031049,-0.270815113609497
2.8744227875338213,1.5135710634102462,2.624909634882508,2.205714058125599,2.441745508858757,2.771751803289052,-0.0297629887640084
1.2399454882080598,1.261430404488235,2.7272954263378617,2.672857564967609,2.746290541264932,1.6203430880483545,-0.1909034969481959
2.259650388067186,1.915892607192449,2.3144320328069066,2.247477193394356,2.025909747556974,2.741038382620896,0.4875840993691281
2.434041097915716,1.5818532920789778,2.1476029763225988,2.2753723536116928,2.130045868507004,1.1229622152320586,1.3239899487418465
2.7504882125315886,2.761812473600715,1.2843961808198407,1.8469584697269312,2.164075821822671,2.621671867180254,1.5509967492038648
1.6706102695833684,2.683211074895302,1.8609836175271384,2.468273153091003,2.4824585429977644,1.436609187477646,0.7378509017075873
2.257409353564622,2.391943320559201,1.4255138933620328,2.099821780968388,1.346450627967464,1.3665072841682262,1.6426332092690632
1.3116401265286854,2.721773121066146,2.706617695184409,2.128557125005265,1.879157018426434,2.1699851128597016,0.9273603963489764
2.17418753805525,1.4731952395367618,2.4659798260789265,1.6238067255599369,1.2633330733522576,1.0200730157445888,2.1333223077166985
1.3983246709720412,2.473067778232119,2.3707219860517714,1.068764803648655,2.688082042542482,2.4574502949714923,2.156467292409148
1.456929039817597,1.5094920709931332,2.635986557056486,2.589659304885629,2.0114437989886698,1.5143877712504683,0.5071986341231666
2.664222312455415,2.157986479224414,1.9362186614001025,1.3801281209141476,2.8537095815860374,2.121570136743207,3.3958298555336937
2.0583566782133063,2.3046504059111523,2.441823986679521,2.328594381382292,1.701810285522792,1.8837254449569356,1.2524378434801404
1.1624972166770593,2.355566176951824,2.3412309772035376,2.1585072176626623,1.3547948906233924,1.0268636359143872,0.9999023236681476
2.1530242661286425,1.415490437252573,2.071477404699626,2.1409734636410604,1.856560117837964,2.769662135318628,0.114971955073305
1.140750587998692,1.4811219917231315,1.1115268523206538,1.547382615681891,1.1834182583371893,1.7124480480540598,1.1736256179378968
2.54162322187976,2.984383475249889,1.140132447035728,1.0060270789926598,2.339922937272985,1.301069874510285,3.758751875134292
1.68966416475658,1.4269498003788892,1.559362604272551,2.0242157211071925,1.3461091828821332,1.623619359734247,0.9626802298049434
2.104582578509505,1.5482343818583402,1.7328290956606376,2.5884849171851423,2.683350469129178,2.2491608265178136,-1.923959840941258
2.255267313224887,1.30696900782611,2.755936154650703,2.958002043493462,1.078632956412643,1.4727762923005356,1.2773243945418984
2.2923776559489357,1.082827004396016,2.086811292497387,2.779663313093047,2.2751101715843496,2.6368445435952728,-3.399329282396913
1.0400085267519188,2.25096333755482,2.415184319035265,1.8704577526569155,1.355738247090868,2.3609784525702766,0.859250486855772
1.9124771943458807,1.187855013176989,2.6234554455271946,1.3960057347258297,2.0550011874503853,2.917657579893854,2.552373971829743
2.4421719106156083,1.597324469798953,1.708865062086925,2.842399156315927,1.1217835669599008,2.332261769518171,0.2053766047070889
2.718583135554426,2.4794568854317847,1.4695659855163512,1.467766028439885,1.050613767742527,1.4879619494346077,2.838540857038158
2.782530695265618,1.0414770190409748,2.4202705587023465,1.5330541800497322,2.3083034973950687,1.2301813312772425,2.900810849936044
2.290579062882982,2.967117119958948,1.418574588223095,1.0876040072733562,1.7284731213102198,1.7513024755476858,3.0559452304402317
1.1640871638240156,1.0768598082298495,2.3687882768219257,1.368118790855937,2.668956294543165,2.8033346846392178,1.851384554995109
2.398692434663295,1.6080990673617714,2.1328168559386222,2.313271509585876,2.9237227668951364,1.9827901531650725,-0.342508510989121
2.1525767705045338,1.9193873313656025,2.5427569676338466,1.6799666063369971,2.741499967602939,2.5249248570459364,1.8199407394319755
2.157309919207409,2.3496343543738423,1.1052974380252265,2.3883060570554204,2.492336174233953,2.158232403227916,-1.1020345817630763
1.786475175661456,2.240762437305727,2.624350330888096,2.323591913716949,1.7578453215142396,2.690582718991751,0.8041387365394365
1.2693059772470268,1.929391610602016,2.574551639662135,1.5685850706646096,2.281322229554701,1.6380626615136498,1.2714175214215062
2.0274913036219013,2.871916836286899,1.3590780655329486,2.536074666660721,1.8711777591749807,1.8153854757312429,0.5766897603328359
2.5222240917054446,1.233257183644603,2.5880872248367366,2.3771189147070464,2.260259882934937,1.9363577788252024,0.026021080694892
1.352232446775955,2.678943375889405,2.8136311333676125,1.0424337486108814,2.6278921502809323,1.4322241797073922,1.6926194937996435
1.876201125854248,2.5654000856412176,1.9144606482736888,2.853027761991422,2.689045778416115,2.7342625094385,-0.8164358224193197
2.647238135404004,2.5324385943406,2.745657391341909,1.962992759162917,2.042160940499415,1.6402949853498825,2.1597860491522685
2.592194052217933,1.4833282998775918,1.77087348799384,2.4981708743921454,2.7220896101317726,2.0414248879073664,-1.7950757044408034
1.3055513848341456,2.3996422082188684,1.5114834181033252,2.013343697986527,2.702881255828598,1.4087697387362934,0.7186013129034089
1.601934495550227,2.522609006062356,2.986792545209116,2.959107730097447,1.9963100285420732,2.4691673517184327,0.5713191422592111
1.2952428918741916,1.8427393102159644,2.751327314090789,2.6139328769323336,2.93727150812088,1.7496333498569732,0.1609014677600905
1.63814973414182,1.0187849806998377,2.683257250904285,1.5458034933848517,2.497649944529143,2.3953969686458487,1.7277456259157655
1.922858648676808,2.641198204389968,2.811348632724053,2.1802989565054016,2.985196816251316,1.7269913693300416,1.1586011079138023
1.216214144045323,1.3643933141934117,1.2596770188370672,2.419885473701897,1.8963953853509168,1.4545713821530295,-0.2490955575415337
