q,epsilon,r,v,c,Volt
2.559993310846304,3.997372106876016,4.690612066143706,1.204872606190942,7.520521025224372,0.0129376338682843
3.741104871395772,4.86339641284683,4.247216045919971,1.973650518819701,6.992081856263972,0.0200809619310112
3.4338362299514897,4.31423345931958,4.240880307788799,1.504577734177562,8.031255630357066,0.0183781302830055
2.019585732749238,1.512510497004202,4.7313401449136485,1.9482193084574917,3.003663893636173,0.0639124931275679
3.784897552280696,3.3988533397580447,3.968573201371746,1.6797897602306135,8.253278664447691,0.0280354814648425
3.5195774234170374,3.1478229028311158,4.704384085096047,1.6130664795661214,8.86388684098407,0.0231208956522639
1.3323537897924624,2.4621472844651846,2.232712612539141,1.1130081317074962,5.832114515101909,0.0238357662769644
1.3530578295464877,1.869665226011826,4.634839134911794,1.0038751532689605,9.992130498641998,0.0138130846836214
4.847321513924676,1.5639575040112916,1.5737124632401391,1.5347370905765771,4.9143783120656455,0.2278975294924228
2.381385277900264,1.4678495729503105,1.3353583021763629,1.570398182477157,8.721756169362466,0.1179114176924364
2.4322378549752743,1.6887414674998875,2.857664325048814,1.6321319578106506,6.007409440672447,0.0550685231864922
3.302935406254271,1.2266669363585463,3.3092747277878565,1.6528783683727517,3.1541223635969344,0.1360372953184216
1.6532822559043652,2.2609529141500686,4.323163169139996,1.1803996276656663,7.171336731773583,0.0161119961872991
4.727194694312877,2.0812663092805512,2.8630086082814694,1.704263727543727,3.969056044325811,0.1106374521376728
1.5876704484118136,4.6390252562681,3.977250653092728,1.0159780184422469,9.287532482941716,0.0076887193793013
2.7641162196017595,1.3461744362112,4.64112326113775,1.3875196387372344,9.46991783343913,0.0412503807326957
1.954603959703644,1.164784947406699,1.1616703724141009,1.509687896682384,8.422619927577358,0.1400571111251906
4.344322836739909,2.898520269123589,3.990232338194213,1.607149390704635,5.813232030249883,0.0413121272232192
4.78799072818236,4.745182787826137,3.484314615519778,1.382551191613295,6.162236751922399,0.0297106518774691
4.808654399012637,4.262380249256427,2.5966712059927297,1.171681597255767,6.261834713127389,0.0425319506821659
3.928102245508466,3.3880645496295654,2.5839560129751096,1.0992538625927997,4.074715638989868,0.0488966446037903
1.2024097334627104,1.0371922870050043,4.367332708279203,1.188358383048039,7.141426720098213,0.0253402665365182
1.1272227402159554,4.465368363774897,4.001843595450994,1.860253216145329,8.293745071001497,0.0064712235355157
3.297977821275318,4.532428249804944,4.907706560173089,1.3664935852468554,8.839368527547926,0.0139560291387992
4.689030570429617,4.455620130575374,1.128215243701745,1.3767303585465271,6.137048945517188,0.0956966306810799
2.324460408158834,4.501479214733212,3.4701934250910003,1.688507451913153,9.69049526776361,0.0143400757556233
1.2210194333403046,2.358875458523851,1.293988474701695,1.2179372159915496,9.331751195795476,0.0366113207423606
4.921820693335606,4.6854868761909785,1.025437009451429,1.978131374669431,9.563491831000054,0.1027761815680264
4.845213441884127,4.539062093820182,2.8595710426021834,1.919054842742952,4.988674887714678,0.0482765931516984
1.602432198371777,3.1525883131148715,3.459242431143488,1.394929964638674,9.632228700300049,0.0136729903502457
2.0016205834803853,4.254592485536552,1.8896142475939564,1.3317722832833856,9.784408943817931,0.0229341773028818
4.853830272135791,4.531067800809336,3.9928245059301295,1.9788026723028336,4.959615702061393,0.0355228031426939
2.816842232858742,3.952002066953612,1.4009807020427902,1.8644529863614407,3.370642018981062,0.0906017305042017
2.2763112005890487,4.371280335882638,2.614740045815136,1.1989189771496052,7.528611635953431,0.0188502391836581
4.61184689230789,2.6175456953338028,2.422629194165981,1.3174638786403698,6.50651026682503,0.072567868105044
3.26608279956675,2.926004216886237,4.264897676735288,1.662460822177687,4.232905761632387,0.0342976257468517
1.2418932697619978,3.963589901351999,3.213907096444425,1.2485912335807905,5.436849365501075,0.0100708525595025
1.935455613734724,2.2090479486148324,1.3143096244394266,1.4329321143664338,8.465897611171561,0.0638564904596933
1.032974037177051,4.150959889072474,1.8324804343595007,1.8735814745917796,4.0633974480522,0.0200527224640679
2.382301847868396,2.7892123379216005,4.679150735374526,1.0471560338316586,9.41975043301387,0.0163424684046714
1.3038545314779668,3.1904389038745284,4.679114127555364,1.405996201551425,3.8053361244321184,0.0110231685925618
4.559068076774143,2.3184644324812846,1.3606305700923462,1.1823939767293163,7.807923656815713,0.1355315813533949
1.7626068833202195,3.750541137822757,4.495893751726433,1.7040619609849248,3.506570041418816,0.016182325138554
2.1266832110889067,1.0975376122011604,3.3493789111190693,1.8002645422090358,9.58174781039256,0.056688059775015
1.5400578789061083,1.934761962346676,3.000097042144213,1.264151074969759,8.040687312320989,0.0250524234673156
2.357728976664828,3.031847835736892,4.705255877583162,1.6487825281139277,6.495933063903525,0.0176257823834969
2.358060659922057,1.222090888285058,4.141518297476328,1.0906912696524098,3.241168594854296,0.0558790189665233
3.316276822808849,1.2078518387012194,3.283217544212327,1.784688808889804,9.3510968167656,0.0822432727837567
4.466836682647363,1.9144130752799224,3.4716207855123886,1.120725999924082,5.674164187736505,0.0666476331777195
3.487193889010162,1.376342213031708,3.142929069484483,1.7835965958273396,8.397062742811553,0.0814523248051488
4.241786359185969,2.4691946532047626,1.8872764963425448,1.7070339151776608,6.63773165486651,0.0975122951752671
4.789866879131177,3.767101693928733,2.613979335528016,1.366942617884208,9.295392100733771,0.0453819900188593
3.4463566334570093,1.800845705836272,2.367089406153572,1.3378396218060966,8.618978469016728,0.0761580243552773
1.3267844540734246,2.3553008074883017,1.926194423828404,1.450891497594975,9.764215216512373,0.0273342183372697
1.1958234305681863,4.557094389799171,2.001264576312003,1.9272980565014453,4.65182722956984,0.017815449166536
3.094881347201611,3.978376470543601,3.0093515087760974,1.4449432516426168,8.655448716840372,0.0246933049824699
1.5681457662340814,1.334533334075256,1.2821876883594123,1.4611233952325362,8.718511441428173,0.0876107774135011
4.863395255028326,1.3226274485374598,3.2993397910814384,1.0272620231474543,4.256402433118359,0.1169017142771237
1.092278420696123,4.4937212953332,4.281896220901357,1.7150234280510546,6.828110930400114,0.0060325171042589
4.147619288028332,1.237688354003244,2.5509912262127044,1.4218120219083956,9.875113533996542,0.1221193516169008
1.5769538418728684,1.467127831484382,3.1521877614972293,1.181641595225492,7.352090208440766,0.0323313002245818
3.3349847104175736,2.207965180023149,1.3284258184741105,1.5854323747510344,9.733002948509732,0.1080869293757868
4.004040388295783,3.5934402411697706,1.08324293336881,1.0146613405081928,5.851084320459546,0.0990294517653789
2.833488562774951,2.2279444711032137,2.825692432116579,1.6425742473215976,6.473801397381955,0.047993703475973
3.969761104721138,1.2759342549344836,1.4440281201845386,1.5832370134107727,9.843421285921137,0.2043181264205732
2.861859882064728,4.160811731185328,1.921535650149628,1.7620460880257591,6.32128207043906,0.0394934514422496
2.8181836933122897,2.7593915968910907,1.4052379054932156,1.6643272533771842,7.587563757416944,0.0740865753392693
2.620997575478717,3.0931849201417414,3.963685179969784,1.14425075132002,7.57554231160218,0.020038594068963
3.5589924866530827,3.3791915318258283,4.5316678946370725,1.5571908077448855,4.969513029985759,0.0269345747568254
2.74553142233432,4.1242386141918335,2.464012280484582,1.3525911528301005,6.570503740780572,0.0270727124138338
1.1136593580364835,3.508842356189425,2.7580498707412646,1.5682703731442462,8.885641137970646,0.0111201397129297
3.412353454992416,2.186307098388349,4.1387753715874,1.8112503875944763,7.664381142604297,0.0392961490269288
4.52665901583719,3.3269504890652537,1.179044188919994,1.4543553467597767,8.50524760080792,0.1107731179629969
4.591101465533135,1.0848247739631511,2.952605531664954,1.2478751884250907,4.81367906719073,0.1539790664900492
4.41044569147391,3.557552779416106,1.649656774511865,1.198687009152481,3.46399018266692,0.0914487949468288
2.5877850330083723,1.4844442323494644,3.662724615938246,1.8879667628541443,6.61274418902955,0.0530091141528963
4.268031631316132,2.2919423908087517,4.288134792809231,1.6038680487545438,9.302892107770193,0.0417568709245141
2.6418756108647194,1.6894226476850975,2.54141779621717,1.4677304806504057,4.253029810203765,0.0747678125956322
1.0230918151960435,1.908773724366012,3.29011192199762,1.2838260148089544,4.240206451177395,0.0185937209602935
3.1628276290221096,2.6878713123805245,4.344090290192868,1.9967593401659145,4.61129568062677,0.0380177694218901
2.032938486814961,4.916907823527593,1.8710782993533612,1.3269295698508357,4.537247780600163,0.0248527676587353
3.338959221834757,4.37590999711653,4.874939739799211,1.303942700221918,7.691789429794047,0.0149981094267317
1.3787345752767806,4.914501407677879,1.0098528771737976,1.2718996347122005,3.487935233956714,0.0347956465828556
3.048382801308007,3.149660738024536,2.4429793870727856,1.075556273984984,6.33053651679512,0.0379791718078567
2.2198992567673,1.6663898458424753,1.4241328834541078,1.3558389921135627,6.177810459622132,0.0953687784933379
1.150533217694524,1.418652029635045,1.8925705149513437,1.075437143459646,7.333392579303122,0.0399607667830418
2.486385539672152,3.520945904527592,1.9622113630574525,1.0914780412374585,4.895109114566157,0.0368567857910145
2.644530541939728,4.546667623526192,1.6769130113431046,1.3439796215870294,5.536785536605475,0.0364491935596476
1.6907397949274294,2.217942714978055,2.9001279681999983,1.8280601708925823,4.165881374590959,0.037273058412058
3.301863503058021,4.711623334023754,4.105686008503701,1.8734067516698047,9.327605516383404,0.0169966040339293
3.056421839304077,4.602430428737481,2.75568434172843,1.8239701522055616,9.040255438246136,0.0240244656640295
1.7378679020389511,2.651997167885172,1.873902159613425,1.99455103592171,4.280670964312103,0.0521074436711615
2.801089673271178,2.3475168795534427,4.330015583004502,1.832985749399004,6.459198950557012,0.0306176591056797
3.154629347882159,1.7337236827034248,2.4958408606384648,1.1631656770634096,7.75865712760538,0.0682466127641949
2.5723457232232283,1.6758539038429725,1.654734158489182,1.474705513364692,6.874570000207672,0.0939761747483526
1.2277285928021031,1.3102131793551952,3.9886165601692953,1.0487152541636846,8.121247757499964,0.0214672326233077
1.553350113256577,4.772197072709149,3.4015038809528417,1.3338692298453645,8.675997063793844,0.0089984478322656
3.726101370496744,4.910990053358495,1.0893921563626083,1.8592979998986892,7.925108271584082,0.0724115569241104
4.9714539199054775,1.4918817400426634,3.648865858374902,1.5199646674075882,8.940418954015238,0.0875605810000172
3.258701305264481,2.473324156451156,2.133232720773948,1.5690354449587347,4.529819695721368,0.0751951047470287
2.080836088521062,4.615480615260347,1.343074086391746,1.2990762311821862,8.981710111313005,0.0312291384433064
1.2054399313234416,3.0585307416075347,3.6848955291744576,1.9962667229171795,9.17416221249683,0.0108784486043392
2.700668751364568,2.731702355028521,3.6248585915531706,1.1924674155215709,9.501846007543504,0.0248185525994025
2.9936612715962454,1.907327578708521,3.066824622268767,1.3020240438148385,9.906347073821989,0.0468894780238664
1.862629469160594,2.399098307256842,3.473054022803539,1.942336335018223,9.480734527371416,0.0223727791031653
2.53613267177501,4.566269972095595,2.3835742997182567,1.8286234691674976,4.857230591065887,0.0297384006573966
1.285045324129726,2.1181689248987543,2.5202325179945904,1.4503970849734005,8.975357227442789,0.0228483539253777
2.423134145371198,4.9053622178007785,2.151947329417421,1.4622334658972598,4.5155998634702845,0.0270147780432389
4.227946247356768,4.759815396892815,1.9238971273845824,1.2781021351635145,7.02342146790864,0.044914047695139
3.17008405496532,3.85951048909141,1.0123978722152054,1.7197236263029427,6.361959523561389,0.0884791945651185
1.7024195195080645,3.632947063996311,3.160186158704926,1.2967043791233477,8.12119074000247,0.0140421862938374
1.282823314515089,1.4390601430026009,2.2055792463048927,1.995501140368827,6.35736437106668,0.0468770667533655
4.534975029261674,2.919430374679632,4.0356771869637615,1.641028852321021,9.1864209417621,0.0372919440023175
4.3607487530516815,1.768604759231403,4.334447344953109,1.324670546603092,8.139178229879846,0.0540670598666869
3.513754848954747,2.290411930133923,2.9131566428051663,1.743155609470992,3.428845154541002,0.0852421585960636
4.14466036565498,2.303031756599331,4.1274608348389705,1.905268831747977,8.488663578850097,0.0447389329801489
3.104896852442616,4.213241760384653,3.278244090584997,1.9752560764032403,9.828051859019531,0.0223883857869501
1.426518058533499,2.834031132993891,4.5038868986173854,1.183317050124484,3.336262487316655,0.0137816909191523
3.155578596965804,4.644175605507298,4.325507106408884,1.0206744372809164,7.035237018537089,0.0146217098086444
1.178490866219888,4.7540695721599775,1.3894291500083673,1.819591475243312,7.152590253132801,0.0190417246234031
2.18684601538436,3.530172594052756,4.807557921547387,1.4902115121503885,8.231314417875659,0.0125206279158517
2.277797487462998,1.5830745158804098,3.0674672659250013,1.2611328155683146,9.865576523054628,0.0427980146234292
1.9503352610537203,1.171796587903617,4.704754571628492,1.1189259053182052,5.254521590641033,0.0357688777160815
3.963385983131643,4.668198255519018,2.514500728036729,1.0361120349230477,7.132444736953795,0.0314358496203697
4.263406597243733,3.114365120206948,2.2604034823193286,1.365382128616622,7.199102424597497,0.0594735885953618
4.832689716353029,4.2496105601119005,2.787247569810939,1.822640697344308,6.052296236640625,0.04645896674871
2.929505496862277,2.566664384960498,1.831470081884135,1.7245113797113063,5.562812045797763,0.0718738543596722
2.444021505286125,3.989382584843776,4.748597362249107,1.6196717873358812,4.938229338745632,0.0152772795715368
