omega,c,d,k
4.689797812033044,1.166486761736043,3.1109234489818323,3.891552016311087
4.400666734057741,1.4987825882498718,2.833889581316427,2.7188400727021413
5.057511007644364,1.9430871697116172,3.0073467301168657,2.38399111953498
4.725069133742768,1.4551828444039252,2.942705393975687,3.0665406551951624
4.504207263243829,1.0920031555702416,2.6267995812196228,3.9475249774826255
5.752643782432074,1.890941178853624,2.479272015603138,2.765755133960249
4.983174955333635,1.1079181368978923,3.9907952546404575,4.428357431084682
5.192277047000305,1.716023286165156,2.785870706146981,2.807766402117612
4.981317832303359,1.5143357930941308,2.4294888694002514,3.0246141509096973
5.056379585210439,1.5189266387663505,3.637737595833588,3.214942976434648
4.223669314599309,1.8266627932474604,2.772525084381934,2.015556441221108
4.964253634666601,1.6241904348940426,2.818851220317268,2.846010839898508
4.549732771007817,1.5038299275967932,3.1135771836989434,2.8522188608279344
4.978825546848194,1.1994595912882935,3.954778809539355,4.07416924552325
5.639105161894098,1.0870018010154232,2.1343413850667736,4.974564727893536
5.382893644740342,1.4562786864758808,2.717940486311102,3.510961409419449
4.691806292957699,1.1383232624159725,2.028992477035268,3.81979973255399
5.270519336697007,1.4719667257747455,3.282392749319952,3.450307883661321
4.422754927618802,1.3043747600075024,3.283778411748509,3.252941736656624
4.670539615284647,1.5905869461616209,3.350288240427487,2.782611580917115
5.941571441953289,1.0826276452660792,2.557600785777688,5.348874621476815
5.119763469888249,1.424875285099435,3.1897372687655965,3.455509994179519
5.487175709223175,1.4412738918651715,3.155626540833043,3.67470044477379
5.349163598910889,1.7405568860199987,3.195596170606072,2.911763832808704
5.773357574186292,1.6612868704239976,3.400061233142899,3.3501488584357046
4.476699306914408,1.8303258170619592,2.4826759198414736,2.0930652092775155
4.216313717251575,1.479088701785511,2.8275113360515864,2.625168750562376
5.843360843708927,1.4723046996710822,3.0955989063744904,3.8369072669394826
5.961774412035536,1.0909414321668414,2.029383193341954,5.240949129136899
5.193544277294887,1.879642417000968,2.947049878690014,2.549128709795883
4.532302160613572,1.4091578689247526,2.244949025826718,2.895924396528332
4.352182498568143,1.7520362699832508,2.5951760945681173,2.169141621584984
5.722520329279908,1.395198067953702,3.7984113474376286,4.017327296035692
4.8803542260699375,1.5436509879529776,2.1781939445874,2.813412706946357
5.194663058393669,1.2624012130321105,2.973105431454329,3.9769213877697553
4.202332197402499,1.5546926106065055,3.347797173384392,2.5348760600786666
4.723247096903759,1.7797277725228138,2.706225705801562,2.3865527787295484
5.338312312474368,1.0356781051240576,2.0386352632939326,4.918658801022266
