epsilon,p_d,theta,r,Volt
2.55660021092705,1.5773462942934542,2.5247438495026024,2.38586186517032,-0.0070355344619938
1.3888933052478902,1.0168771824567184,2.5345973992015667,2.436897591842262,-0.0080584538926101
2.449470719973162,2.022237334800637,2.557371672168236,1.0819061158432108,-0.0468177834358167
1.6994789992638255,1.9623537259300212,1.6630430283132072,2.966002376856437,-0.0009621513085333
1.1547141707111157,2.934414459371574,2.220000555310627,2.967062057516726,-0.0138873061383562
1.1810374656776093,2.9033585724924924,2.4689299870490595,1.96787013868776,-0.0395123510833835
2.5472606031580898,2.0282649848393675,1.514248990354902,2.325267876882504,0.0006623326203943
1.028921553534586,1.1213523714952394,1.7746652801221496,2.357851766276896,-0.0031583153930873
1.4804057999491471,2.081916303418203,1.5420208361687198,1.2345017560812277,0.0021127689265231
1.483024478111696,1.867412195544044,2.0839117164758507,2.4779001669454264,-0.0080112808261089
1.837897026770936,1.3843233877999872,1.540403752972088,1.283782688427682,0.0011051573210198
1.6091476116143404,2.3960231394154303,2.8735505710437783,1.4372081789283664,-0.0553164296792871
1.5150630270837455,2.882605976968116,2.2315285238514937,2.401992885599161,-0.0161047487363629
1.009938767166425,2.481139567657093,1.1580626979699993,2.956156640989556,0.0089734655617026
2.470698259048903,2.930826941591331,2.374193028353368,2.3529889384187497,-0.0122710992441383
1.3274917405702256,1.8186128173337297,1.9817336319411,2.673025719080755,-0.0060950197701776
1.6919672117051947,1.131028218756561,2.6918872470153747,2.351729241073634,-0.0086619760653567
1.342180949579882,1.2414004833618302,1.8299990016457768,2.143368802455077,-0.0041064129423441
2.380237951145504,1.0252233201778107,2.395049567095426,2.541817444651789,-0.0038942135123228
2.120965594941863,1.1256929284243262,2.8337112132478133,1.899706252189685,-0.0111528610624106
1.3298315466295147,2.505028443813708,2.875582994668398,2.66210383524631,-0.0204082557949432
1.9194058320030705,1.0263484840726942,1.953415834162718,2.35357763820452,-0.0028680017137982
2.9021714428523344,2.028178561303631,1.3688687686359635,1.5562377188379797,0.0046053387717082
2.5109525837128484,2.793993931238444,2.972463339953558,2.646248203041483,-0.0124644940000426
1.7735903996457272,2.465193516254665,2.8817230606280635,2.530616649104142,-0.0166917772797188
1.293050062622243,1.8624082547436829,2.4652220648856047,2.311362708302951,-0.016731096816279
2.7386671396698388,2.633595869488253,2.222037728105965,1.679156563458064,-0.0164518629024267
1.358231509044573,1.6680396058720488,1.6437981281050749,1.6558413083494512,-0.0025997586414183
1.1407315661607578,2.357740526878862,1.3808297057640986,1.6901824323067969,0.0108717030084092
1.612405753527335,1.871749421771831,1.882698249258403,2.4902152586392545,-0.0045713369659863
1.2819474938579165,1.697291627169052,1.9303378456299591,2.6953682586138257,-0.0051026016052688
1.3851108278023596,2.0083996388753724,1.1499395319958023,2.291323390509671,0.0089788424869185
2.7913426405283817,2.652716689561161,2.2599712242356844,1.6029210906460114,-0.0187168521601924
1.117047434792488,1.4098514208418178,1.5240814270473988,2.073184160350276,0.0010912231063135
2.370354245314124,2.355456502398585,2.069715165551875,2.4523677613708244,-0.0062913136921043
1.972630941780699,1.7022831393856162,1.3433618919081742,1.356095892483699,0.0084197840212836
1.7110304054457095,2.37406345300929,2.169126096586618,1.4615950261567423,-0.0291126665261317
1.771086218846288,1.9332989855070783,2.824158519100635,2.691192111768077,-0.0113946681724975
1.878330244963164,2.656624763101312,1.1326867376885672,2.798864987748386,0.0060951471184011
1.1968423333473148,1.2661760593100753,2.962526738158082,2.477101550943916,-0.013500796722939
1.9459803291502396,2.440348127292712,1.7833107896234712,2.935744369764331,-0.0024422020683803
2.8155932385527302,1.8172481361610613,2.6475701780419123,2.990815142492944,-0.0050553525716209
2.9751932894129456,1.631107627544983,2.126999117891297,2.176504438087017,-0.0048623221442966
1.4390251102162133,2.82045704225778,2.681412577975565,2.5342982955337177,-0.0217580759878314
2.288971678032808,1.8125021802038976,1.940495708473145,1.09427680402163,-0.0190144631407082
2.92778237268734,2.0641226213162778,1.8474397948252737,2.3549425517870395,-0.0027630763179453
2.809041918705512,2.593920636175178,2.363477982542123,1.243749871687482,-0.0338335646644292
2.448781659711454,1.0831118370377664,1.0382425905736152,2.7213226708337954,0.0024131841175347
2.472883613882172,1.8890648890139023,2.9569389521593954,1.5593785703354557,-0.0245744429525477
2.9276060235943357,2.39925298022666,1.2331334787545436,2.1752426587547697,0.0045660119226884
1.6605453375500328,1.6646123013611462,1.4602130668917106,2.823355876052932,0.0011043967994102
1.5029562764255706,2.1316464637609145,2.711604063530316,1.698056448552841,-0.0355798827377518
2.373674759041241,1.7185016144928846,2.949207266142106,1.2786642823296344,-0.0345874579571995
2.3512513468216536,1.4626602395843966,2.312958621294449,1.9739415648105585,-0.0085869226552971
1.639914700624443,2.9200056859536123,2.89516601397354,1.0942985694638452,-0.1147515989867685
2.956709849737301,2.7684364737751914,1.6403315320404868,2.461675980799352,-0.0008542970741975
1.877439993209756,1.6966183107031232,1.452752326895081,2.606760076354578,0.001246352653283
2.716402366700956,2.452595397920425,2.3312119345779734,1.1553890230503188,-0.0370958221848779
1.4730818850257066,2.0965174784296465,1.8218370023619144,2.7572743568946407,-0.0037006209406092
1.569729752450775,2.233819214966667,1.7609992038721565,1.9412942915950664,-0.0056810137709969
2.2308108531618647,1.1564893746978735,1.5906807725665657,2.3988902022940883,-0.000142538821521
2.035536448578706,1.7315679768412278,1.1295610195964063,1.709693985582009,0.0098900766530215
1.4637924911094689,1.4413885937956692,1.8028181667645296,2.6653758239692253,-0.0025362963642365
1.882665036718212,1.4711180978736869,2.7751168297850284,2.73866827251304,-0.0077400669064935
1.1767897488117154,2.849569706156383,2.5817350048259105,2.2252436639742523,-0.0329737506222188
2.927179686174423,1.25891071897868,2.5131903686776638,1.9697086666843484,-0.0071361325482928
2.5447318754092088,2.142045100942164,2.150733465535601,1.798764307826172,-0.0113445180420056
2.284615025740373,2.899249883235896,2.7488761179403323,1.5885795140278125,-0.0369706465957892
1.265667571893947,1.1326233691637355,2.885635368897667,1.3325603227125655,-0.0387969805431366
2.237926857452863,2.504933263491236,2.90979837221213,1.814380449094536,-0.026333627053352
1.2605388776900328,1.5138471263463131,2.053231966953093,2.210817206043727,-0.0090713176993497
2.3353454568057765,1.512384058147142,1.8003821959325093,1.7895000635622926,-0.0036623583183752
1.2001041385954367,1.14951917863327,2.488350170797004,1.2508909845302218,-0.038684159224206
2.8108457786541914,1.4250680630863,1.9498018252367424,2.626306939966299,-0.002164191294809
1.8521492583731227,1.756257068778405,1.6821913075796788,2.60677409490512,-0.0012344187659534
1.4609264738707934,1.3638123965558118,1.457505506898691,2.082339306284644,0.0019367730093185
2.956627508959572,2.3737942500845497,2.587584908413717,1.7990707343986263,-0.0167870759895915
2.231787966083428,2.253031853473785,2.2004344626057826,1.29635957702182,-0.0281488053711076
1.2584226459642949,2.428458316745319,2.508957070665418,2.5678547466079173,-0.018782034373422
1.2069796029759985,1.655539365718273,1.6949058968073865,1.0295010095859567,-0.0127487011751946
2.153476845502488,2.049832580832967,2.805939427306811,1.2675333189541858,-0.044515515690966
2.603840845864907,1.003452345802775,2.386191147318506,1.5020465516350143,-0.0098954343517045
2.1193831740247773,2.243921921451647,1.420132948349653,1.6956755934642196,0.0043981118737191
1.1127321672437134,1.1541319484544563,2.62896406828402,1.9854130699287849,-0.0182473500358585
2.9435195387712723,2.738351917087805,1.530579742407426,2.319997573354548,0.0005530004942045
1.292339639119429,2.008845249387991,2.200176134880456,2.7158378135138683,-0.0098719887834359
2.2611995813600565,2.398314450882652,1.253386331042902,1.392450077337682,0.0135863120206611
1.8257962745202203,1.8936928614387432,2.2501418000029245,2.0399485986230896,-0.0124613437407506
2.8280270833920613,1.270556785492983,2.69324158325898,1.3746601529760691,-0.0170495674945039
1.5840254997667844,1.0987633786896251,1.895508681678541,2.291451213186531,-0.0033539057744599
1.4963098537644868,2.374766543141299,1.563069886695517,2.9120229988284367,0.000115073425509
2.980025576405013,2.483723899921672,1.848051003227616,1.4401209257012744,-0.0087533852872548
2.363024836993623,2.3668387597156872,2.268400286058384,1.3988217390286686,-0.0261673643998299
1.678032865332826,1.8998397425459288,1.7034548771828026,1.4478998464007684,-0.0056844740759319
1.5377996768350477,2.703402964653958,2.096515354683456,2.1418826905705277,-0.015302796384854
1.6226117763986716,2.0133640702398687,2.6107022298792257,2.9608910820709218,-0.0097126971867986
1.789638959680914,1.781500824883482,2.7075131711732605,1.986245259888336,-0.0182169469212736
2.577767570969515,1.9165553459578768,2.842071632873869,1.0363100140228356,-0.0526391677959654
1.554811181225907,1.6372534936303018,2.614143367023821,1.2574053375291645,-0.0457971722117643
1.2664273803055983,2.37328198399031,1.823513324216322,2.006218010456908,-0.0092641321655916
1.5767295542570767,2.9442850639917006,2.237575682208065,1.2576902801384953,-0.058099960738178
2.445955526907332,1.5876118076582368,1.3600175856406762,1.7686248381078251,0.003454782478414
1.3673172890827603,2.7252402713271087,2.873199065305997,1.693308841243058,-0.0533358920376045
1.401757161864632,2.378320816802556,1.510683854212703,2.212916716186762,0.0016563825881238
2.552405228478233,2.8957106298099946,1.891443602040885,2.754620446825742,-0.0037500067026794
2.134317417218031,1.0516198307659104,2.1022019169833617,1.649323251055796,-0.0073041269627332
1.7148895731240164,1.271494296953299,1.2376250388383565,2.2253949803483257,0.0038963426202841
