beta,alpha,theta,f
1.507860636533235,2.222349013036611,2.0776637928518222,-0.1188484080570265
3.393498568305962,4.4007803572076405,3.552768605703972,-10.295812440355336
3.40322400313699,2.9410249646603264,1.2097128511316444,6.939272327372594
4.196880028820809,3.846854492911776,3.511904710873763,-10.853523602251638
3.346816783518445,4.371763892404452,4.241612995355171,-3.2897063352508678
2.97576633229598,4.777225522376019,2.1219653167060484,-4.468869023846368
1.93817570081776,3.637766170564269,2.3319364543240586,-2.924978026761917
4.209786253288549,2.9258293655810195,3.93061078237606,-4.468145022106183
1.320173058348863,3.360249902578233,3.03804950557452,-3.092179388612609
1.588302697931144,1.3312429342427263,4.845137842697485,1.8681654530433272
2.2874472079587047,1.572880467452071,2.5219796390655382,-0.641599427093004
1.720861593246763,1.5852592040504336,4.365092541482094,0.7923639788147878
2.657506555831857,3.2933661265765446,2.162532211470722,-2.224461057548707
4.770072957237613,2.693134089895513,4.668216530047912,4.202798475388325
3.923809130276549,4.452184121561164,4.834299843551047,6.0482619784878
2.4153867794677257,3.188944485939582,2.103502419838683,-1.4964710239725965
2.7685245063014,3.5352389082845117,1.5703555845954535,2.7728382244046847
3.675119267062184,3.325070728996796,2.795599373752893,-7.820741734696451
1.780272173186014,2.349403482881629,2.1889708215417123,-0.6437342334848625
1.1203682152408496,2.612726844488495,1.899876244102804,0.174372600540878
1.4157268895762622,3.0292953988533378,3.478642899497709,-2.6316237508813805
4.745194557863346,1.1319673141320783,2.816017997128085,-0.3440349688005157
1.4193286932691829,4.480087846462734,3.271451596496512,-4.88584921536974
1.4884945094175517,4.777738060590112,2.5705307333163887,-4.494720835291779
3.4947321194361565,1.5166095761151048,3.776399803050162,-0.7728701903822469
4.237232475196405,4.386171934062178,1.9550641015230608,-2.730006244065683
1.8271863638641568,3.850259788504765,4.686057046229085,1.64195887008188
4.431231794212762,3.7454255937062086,3.5931775318154497,-10.501892681238951
4.747635584029244,2.359056602832793,2.533502506048691,-4.444610935846751
2.12644374214803,2.3753226188365724,1.0934103331775642,4.44716646915598
2.2864645178582714,1.7897578134902106,3.699719202533992,-1.1847541634948016
4.081356356932384,3.226358022720628,1.0276083771681273,10.887427326137288
1.413828393535411,2.5516097994656697,1.6003399405395262,1.3072641765243909
1.7968186338909335,3.752438469332029,1.7462886767889687,0.6196341830590986
4.872154167860085,4.433676348081252,1.0547351094541253,15.53161719735055
3.759090659196174,4.780468415113425,4.130804052762553,-6.112828175386303
3.383031223252768,4.595496694613495,4.010399772777461,-6.6560669634228855
3.4059142495537063,3.807090428280102,4.647895111223162,2.5702261439097858
3.846895693204687,2.050994694989549,2.3543745270624434,-1.7219875140061336
2.723611298503805,4.21128610456617,3.79724152046532,-6.368038672829654
1.7429909594021646,3.983539454896844,1.82198162226114,0.0172248893409617
1.8653457770556567,2.7349980835224077,3.014715487242229,-3.1953631543647165
3.1995104489783963,2.4368046370178016,2.545649786026927,-3.253093896076591
4.2120814428360855,1.7570111103142811,3.654978250570298,-2.234547434170218
4.402205844541886,4.350521293263337,1.6315523176463709,3.239329502140197
3.5527620910501403,1.9767909786726268,2.4730881060178964,-1.958586657648879
2.25756062371115,1.0716235290586478,1.616820677543509,2.146255284203303
3.5166371195354524,3.4023064810495307,2.281049237731632,-4.28463813192101
1.26454645074638,2.0399507691028136,2.042967848433566,0.0912838000163906
3.5533419204244896,3.988423768530888,1.3713700130798592,6.360961228746178
1.6732838766100842,1.5730089122416295,4.2718507516405815,0.5508911089308232
4.4270133095644,1.6758652003247154,4.964425735126557,6.2771597332799365
1.9472252617195795,2.116037584860841,2.6892501770523127,-1.7587701969093146
1.3785331715279057,2.6006601901747586,2.458838062851959,-1.4029197396800908
1.008181132310416,3.084714741665079,1.400845746652409,1.5341785035350617
2.3311587251372976,2.91316040449815,2.649725579652119,-3.6548207073228274
1.3316354058334587,4.077300042498823,3.957618102294612,-2.388217649023868
1.5252323840916868,2.7675610217029423,2.385529179466808,-1.5458502236426488
4.230525427865323,3.59975093675114,2.858870237832469,-10.39372031356994
2.414868541701706,4.045419535412599,2.827938638134346,-6.877675366853726
3.807011421136005,4.015356612321487,4.853002031370042,5.94941774465189
4.656181014353287,1.392668547686592,2.283044552720307,0.4183087345850861
2.301692763569332,2.281551824333993,1.762443304404886,1.3014212510499852
1.340328337395908,4.998354069711882,2.8313042184734,-5.039179337543643
2.1606548327747075,4.658871609039666,3.9554512710946064,-4.75179945079515
4.640937940188703,1.311328167237483,4.53932200102744,3.592938176042699
4.819853596577246,2.413541805383636,2.4171906692669274,-3.891990570856951
4.4909791531564505,3.6661636171443672,1.2865257255842175,9.108616124646234
2.717933615829436,1.7290149531118773,4.420525163816487,1.3657539845569129
4.290610805449083,2.44175508689983,3.645979134260489,-4.881368261464447
1.8383599090000629,1.8635004904821704,3.378306838519582,-1.4918924891934746
1.977967286969431,1.7617152752045762,2.3527327055308245,-0.477483171638311
2.544052894946345,1.967233629044308,3.3195986096371564,-2.381612161792702
1.6726562107299832,3.0820746177822094,3.632271703851167,-2.874342806012217
1.9585043308690693,1.834945798434456,1.234926424397969,3.142970281310587
3.0118295512948072,2.5245304087966547,2.4994188882937136,-3.0769847573417555
2.7046640712746277,3.1199951307531117,3.206787030423318,-5.715947823166282
2.080785713932053,3.888707871390209,1.9873421996593563,-1.1930957996549671
