m,q,h,n,epsilon,E_n
3.5921904633840183,2.4611768354453663,3.1320068063125093,4.783984303046202,4.695378069556768,-0.0033286997492299
3.326555763080901,2.5834928004064674,4.845549398933895,2.933094537956958,4.3518650896462505,-0.0048422234115933
3.1655685922088472,2.608335965403952,2.6483876763496768,2.380354729912667,4.991649956007812,-0.018496141297289
3.789190353739564,1.1709506108275023,4.5352705194992415,4.220389011551502,4.379456055299489,-0.0001267240485335
2.004210879891843,4.620613891590965,2.9520015669377178,2.9329786488910217,2.849267050866698,-0.1876440785899507
2.553068104325778,4.928080855090182,2.2561300397883963,2.211842647536378,2.098970076648356,-1.7156729570423754
4.636172344003335,1.937049656103007,3.817419157328459,3.4207540471680358,3.664915603579816,-0.0035622241900594
2.723246899650944,4.538180772991332,3.286196013492841,2.268070584508848,4.9968037988391245,-0.1040973183080876
4.832529668195304,3.8743907348418376,3.1867064943141794,2.647064291435363,4.467692114404132,-0.0958337822792224
3.773715235925402,1.0934185119237845,3.325793404567781,3.1389035078750025,2.4544001676691463,-0.001027040613179
2.9301572980384543,4.083525431263996,2.7327777127705537,4.287512504342965,3.981916719113104,-0.0467884057726809
2.7413094794517434,4.845703876198411,2.518443947669162,4.784286023786592,4.071803087036082,-0.0784915994409419
2.6819533435708096,2.5194920645219785,4.401824514799914,4.486308688984029,4.032055769211558,-0.0021306710002049
1.5501386591094568,3.704740931026579,2.595526975151047,4.319637351530234,4.451608668182729,-0.0146531942389684
2.2549706638875566,3.334808877809412,4.926849215447566,1.6733647071699824,2.093671246866563,-0.1170032635195801
2.1754917178195994,1.7863438406761205,1.9659133512430724,2.870140716753555,4.567978795295103,-0.0041681601046793
3.089476947299335,2.015199697537753,4.622846815382754,2.952576964305213,4.540195407765504,-0.0016584286029231
4.401022768154454,4.526936177108166,2.041214353877105,2.0091222245575886,2.1323952209525787,-3.021035099227549
1.4056512295068555,3.029699942103631,1.7396248531413958,1.098052544159806,4.132156176702219,-0.2376157134679047
1.2882121325725735,1.3364609970587802,3.790551755201613,4.401108617955067,4.823029820010573,-7.935122291401046e-05
3.502233735743982,2.7964204968741804,2.48951347270877,3.260345310123825,1.5923541978432083,-0.1602616211978884
4.540490313001765,3.6831071705996994,1.7468235516257336,2.682975943012868,4.5284282118522245,-0.2318694765414669
1.9649966678367088,4.233152396209668,3.6822339389015535,3.531602851918662,3.3088435304543173,-0.0425998935411687
4.211799926367037,4.612220608173795,3.377270967383597,3.5033919377469243,3.385604275987866,-0.1484692035389555
