rho_c_0,q,A_vec,m,j
1.030268777339903,2.159954573558128,3.945665119101797,3.690038198111687,-2.3794934671008625
3.2079879570118845,4.38537136651405,4.14850943366789,4.49884857504951,-12.972683191340913
4.987254997358617,3.254366838926398,1.967093891871289,2.3422480279055007,-13.630766805790358
4.659657804760583,3.170943866054509,2.369825406957061,2.013761075553268,-17.388054285403662
4.976321164972056,2.3461269966448657,4.4793379109055,2.6057506048809085,-20.069700745877384
3.5492557229545154,4.453920934172999,1.4387899385291782,3.651411695285703,-6.228972081465038
4.827691078226264,3.665733314381948,3.3465598273235173,3.232465399167693,-18.321669596202103
2.0410198846749195,2.400144416427456,1.0501757242380978,3.207254248200217,-1.604032619084615
2.204935373139976,3.386939655723503,3.2094979791760427,2.5039549779361123,-9.572247396712797
4.398845445414446,4.615959425634674,3.174391438650469,3.668580993787204,-17.56964770312449
1.315439819448557,4.503964629589159,3.56042239177094,1.1473335256565167,-18.38559948143202
2.480885478519715,3.652460512704828,1.420624520341911,4.5203224294229685,-2.8477518275088007
4.457390737937738,3.924664147398975,1.2185171714063912,3.003755459275345,-7.0965993123035815
1.446587396293702,3.0818774549827457,3.8593088521133208,1.223293065634267,-14.064978234462872
4.658435451745911,1.4805473270649263,3.2242457370364512,2.2921400172060595,-9.701734104372616
1.7051510145109685,1.0505713081364587,2.111293933888164,1.378059669811465,-2.7445368135751647
1.7021923552768363,4.154469271589406,1.7431398334076538,1.5645587908536656,-7.87888074390577
4.7615233666887775,4.9480223484691646,3.302641576756291,1.9667886874352511,-39.56228021639995
3.0280666984680207,4.559093864038667,1.7971373063988725,1.6173171915662836,-15.34016487618227
3.091901436992709,4.2679296283605765,2.981878116651931,2.597496268426443,-15.14878655907825
4.651925731850954,1.729112564740444,4.307637829761023,3.740695423667552,-9.262812502563424
3.501443220846806,1.004574245776031,2.3205167205189965,3.328372121016303,-2.452347186764427
1.5927814073429816,1.252266210792377,1.4817099599262198,4.952528422920164,-0.5967453773042892
2.2852936502839305,1.3585105140828326,4.326836861344914,3.942728564685888,-3.40705118790037
3.063555166819484,4.36096346090667,1.2055950673972653,1.496002734022377,-10.766566529213248
1.514567041875467,3.4710341374662663,1.2629014149070743,2.166062968870975,-3.0651078410071646
2.5460118399979765,2.8422034098240583,2.041024836681675,1.220626225667588,-12.09988291726168
1.0473137730610538,2.836139812686257,2.61976554296334,2.736866736350944,-2.843238071199604
1.761756360872547,3.332480566856017,2.440221785162758,3.421336656640981,-4.187424244629014
3.690649445050775,3.135685613636774,1.6923546679768906,4.238641343234853,-4.620617547861281
2.0770036888395413,1.2908593589234103,1.422229141683152,4.700447043710565,-0.8112348598921053
2.1612769254102475,2.8264838358676805,4.151407359304462,4.990832050094804,-5.081352440692569
3.968670056862705,1.6306023646000083,1.605439291044521,1.6386178124279431,-6.34029227297638
3.8578403028661623,2.8364026434808154,2.3523788868344795,2.7229782943205314,-9.453121082689025
3.197958336967047,1.1528989597193058,3.7222124964167262,4.803469626023466,-2.8569994892247865
3.60783036395456,2.225339459861236,4.932078462823155,3.2323939660712004,-12.25033789765348
1.9727043071393129,4.575447202760164,4.065426973301973,1.7423476047722506,-21.060413929201427
1.3406106872137804,1.4219090635341365,1.4949092781700082,2.198565782206978,-1.2961339089795618
2.129310805001522,4.204433271060124,2.4937391668106024,1.8209682399788123,-12.260132878883452
4.912594547321303,2.6589419625447706,2.377488797562436,1.2862324329563242,-24.144532611569574
3.2942826910754346,1.9367310092300007,4.931050422103703,4.936978823397737,-6.372478069867528
3.2946567326644995,4.987853324534845,3.519350210639246,4.072908859200593,-14.199780797921695
1.6936985832469058,1.1882689986235286,4.697553344397757,2.6979061655228938,-3.504255558590517
3.48600108734531,4.453971406855111,1.4571151371525757,2.4490006486160616,-9.238041579206644
2.5439727658773585,4.975449993427397,4.320435517949515,2.990337700719836,-18.287406339034156
1.026496439418009,2.9162228802715484,2.854309933703084,4.028038696009292,-2.1212197169891733
2.91439802955769,4.408501567802784,2.3439693942273023,2.2256597990398683,-13.531097376289438
4.940569272434962,4.318212453059427,2.026222564469144,2.5365455323556483,-17.04219316023826
1.861028202362243,1.3516420543194865,3.9060711424555214,3.029677128163481,-3.2430858917313183
1.4304995125557354,3.891727642372266,2.7337915648076985,1.42326383415507,-10.69326029556168
4.846912282523331,2.403219165328056,2.4468792384526545,1.6769877949441558,-16.995782828752798
2.7762246861371027,2.668640875168832,2.767394661885737,1.9185447564913105,-10.68670716868703
4.420175943294701,1.4772155280132484,2.096678193113357,2.1657176779030527,-6.321401243134913
2.208752715163845,3.5288693754748346,1.285346423774763,1.9027261591587208,-5.265341982535977
1.4775763686986223,1.1094407265072292,4.86033788993697,4.869855822051685,-1.6360794882441276
3.78395326042008,4.318221667575795,1.7440098490652898,1.0020920839209606,-28.43753819997492
3.277330719259126,1.1642633642898934,1.7639923143539715,4.500974648222483,-1.4954146204503418
3.5311838690739656,2.645906050520151,1.943385878264075,2.4446753045279377,-7.427328088323627
3.6027226143899296,3.4118057193213644,1.908038374916376,2.8270452492286235,-8.296013761889009
1.2727657916220037,2.4499514813850567,4.191008534500108,2.915624307214617,-4.482217850916017
3.821429189355303,1.143602003485464,3.645916395883877,4.938702998343786,-3.226224019611292
4.357034902212192,1.5772540368864445,4.743301668563047,4.905478893067796,-6.644954648868916
4.498460591457859,3.1555812367192653,1.115550761220207,1.8526583997408117,-8.547463843020655
1.4505553078817792,2.252192022239373,1.3502194016147708,2.09927393330153,-2.101236515183664
3.461949802277752,1.2704847128014407,1.89701917327728,4.43004518121701,-1.8834486099316217
1.8337930911951248,2.466220128326306,1.5277375300663176,3.836692166195744,-1.8008351641885454
4.334458834941021,1.0152780580790233,4.665473747233589,4.314476173784689,-4.758691579096553
3.7329745361186815,1.6646904331338668,2.6846513893349764,4.480167276149373,-3.723764271945641
3.9796460220993137,4.019022701091581,1.1468459978883132,3.8885941864955056,-4.717124997872068
2.749394635920009,4.937772271968292,3.904808991825208,1.893576421892477,-27.995298017628095
1.3120118952343427,3.3475024726189724,2.5013726121288333,3.1350610798952383,-3.5042175703458662
4.042373562285618,2.192614335642677,2.765267077827201,4.399352947182708,-5.571177195507133
2.884884089595805,2.257129304550016,1.3369176471096242,1.6955178232066577,-5.134369316186495
1.4225442488761053,3.3962951863775177,2.9408350645278927,4.138287804529849,-3.4333746053547256
4.850936175890618,4.011649852312941,3.74521372766478,2.479018664235835,-29.399868660058587
1.1478946379388204,1.6058272280711248,2.812088185052973,1.6523728548515413,-3.137052079034821
1.0403164644084963,1.48986639734869,2.2425451438686683,2.161178488396269,-1.6082862735010706
2.6601674916714657,4.874305461492137,2.408529626091787,3.4638465343638294,-9.016024313270426
1.3032650485973014,3.9591600370393656,4.62492992936745,3.37218316608484,-7.076684057590941
1.068101326930076,3.0092229847669194,3.704886060376341,2.590309404973529,-4.59716444149398
1.38008980810192,2.8137961162976093,3.3697110724339137,1.6118615476401494,-8.118296420921274
1.98891690694952,1.8918597058630773,4.7561227165770825,3.99380157607746,-4.4809710136666645
1.029680029807718,1.6171273251386422,3.657768986767534,4.708260247544902,-1.2936068853345473
