m_0,v,c,p
1.7462958739074903,1.7435845563378498,8.931639763006027,3.104544098598921
4.254687314124717,1.155062538053528,9.35013907116253,4.952363509297505
1.3606926453516612,1.2248311049671043,9.519960208812844,1.6805862658472013
3.0789867100000574,1.1805321821471375,4.430445093608866,3.771185429880065
2.6370826261419267,1.541779765296827,5.025315926932303,4.271816756331299
4.420325701661984,1.059182320867471,7.787450743075229,4.725846864735338
4.083215891913048,1.3886790580485104,7.415586233235096,5.772393210880364
4.237816205648896,1.3355318666351996,9.729136433489648,5.713828670909906
3.618972001136256,1.327935684373506,8.120431711557082,4.871338404533249
1.959610538885444,1.9512035297895165,3.931641207921481,4.404249709302583
1.089110746022626,1.4613794705519565,7.338980693721628,1.6241289534407204
3.6346069799273897,1.483806364992179,4.891131716600344,5.659776174879333
2.314272857361661,1.3777952335856911,3.653093637673523,3.4428531667753024
2.988520044044491,1.6359262560538212,7.838648265815426,4.999079647880625
4.942224263014978,1.5817721916532963,6.221206585541754,8.083106034881157
1.374164537891998,1.994334404906164,6.232830880655294,2.892617683969784
2.3417198737489318,1.977693152301521,9.451588162917856,4.7360435108167325
4.023203116849821,1.462457645280697,3.357494980811349,6.536426140242376
4.453761784291059,1.7076227414658651,6.639331020696124,7.870105296329975
3.7805001013862687,1.2475241393748702,4.524030787922848,4.906500194718254
1.3350808850028324,1.2572187140440765,6.457319428460465,1.711235741770054
4.838611878935469,1.9511439253944765,4.417950014187374,10.522636259290222
2.322446975719247,1.236221133533933,7.114630794367696,2.915405864533549
3.7587829130064514,1.924778971789168,3.946844609572806,8.287077684068999
3.5024854716532707,1.7359553546760351,5.080392143539907,6.469560412926179
1.46588104146443,1.373514163977646,7.70130557128959,2.046214441073882
2.5574791035912794,1.1805358655244782,6.978602816293302,3.063345564226034
3.451936012616257,1.941280637859956,3.616646472992735,7.942292318664695
1.2554545952152505,1.2749035238747828,7.662797282894565,1.6232070500344118
1.2555301774830725,1.842843322175976,9.459496554911151,2.35894230472012
1.726239706657294,1.356896405489666,8.136468664150588,2.375595599450002
3.8917519714220847,1.496576150191154,5.647588622990079,6.040241157311421
4.652043934013991,1.3890228550595565,4.629766831429896,6.77384684615489
4.018834235838701,1.907876440898579,6.919088014529544,7.976679363843218
1.79921319178603,1.299781726691268,4.974252981472897,2.422758004235979
3.284614180604412,1.3731917534230578,6.776534215150816,4.605962902209411
4.646318344566487,1.6559014433686972,7.310627249737505,7.899146002425437
4.909445799144777,1.4010406819252808,5.114229503885922,7.151937271631282
3.6001695297328045,1.3133620322141728,8.723781376487413,4.782838598245507
2.9709965782920347,1.3485856463956265,9.406957020265768,4.048461760784972
2.7394726486323417,1.336018175539597,5.14007728105903,3.790257667360397
1.914447815093732,1.2099556632465298,3.263050997372308,2.494207151667629
1.2458254926861805,1.816968774475045,4.227486167035801,2.506993254649902
1.0403541084935228,1.4847207893452803,8.006921721656862,1.5718959156072791
2.2761133645919225,1.323028643510324,5.37193654279092,3.1070690069904363
4.000352845683061,1.0401664909883603,3.2947381078179343,4.385309680019403
1.3841387734896684,1.748363296528126,4.256235250253888,2.6542527246999827
2.237110427786177,1.7227531558892468,8.857330019495869,3.929023726065696
4.044565796364657,1.8563744752954507,5.412923315555345,7.992980418665991
2.424812815792818,1.867258164574861,9.042170125423318,4.627495184436933
1.1824772344574614,1.5933164300328455,5.8140867466807045,1.9590588323962483
3.3677766408676426,1.0307186301430145,7.909177378120954,3.5010871363282523
3.362304109659478,1.7724949936189665,7.274761985113775,6.144853086887323
4.540089681169977,1.5084914298843182,9.40559695427936,6.938505542007307
2.728410532547361,1.1905653711779438,6.93984533209567,3.2972341149664586
4.988540694363879,1.1056564728590987,9.40591985312663,5.554118548224558
2.521354484703967,1.1116717449599065,4.433357273846079,2.8954231257330467
4.935045944823944,1.0255461242848696,4.960239029306212,5.17288733619981
4.726826120267875,1.6350920314359318,4.308378185034838,8.353776987691484
3.685608447899518,1.711661238759694,7.735661450277826,6.468857753269728
4.960435046561589,1.700932092560382,9.011458824891411,8.591802872430273
4.308163106988038,1.9084016054194,9.081857827904887,8.409465847692886
4.883700231311501,1.4322046220695666,7.168892568273013,7.138362537025369
1.7552709503869766,1.959095035615802,3.270507080236728,4.294482676972792
4.8934785031446015,1.280782360490938,5.869306612962527,6.422255530096329
4.252357635739191,1.417074284093701,8.797373789929118,6.105637258750356
1.2720192517453714,1.4437989100214144,6.428178566640216,1.884693998090208
3.4809702035399543,1.2345037981149996,6.732701272198417,4.371383581663226
4.4824395796439545,1.206256931817852,7.642891850847989,5.47560099252508
4.4632553116918,1.4648436608171065,6.965936917483194,6.687505417546342
3.102553417756559,1.4003793118915293,6.528263254390897,4.448300311673831
3.492181716122956,1.2165731228139496,9.56306131727004,4.283295962478495
2.746655416905867,1.653572192829713,6.174159521139491,4.714002265304024
4.236449678595503,1.3687470075525248,9.158233684317304,5.864495038020323
4.177596201064146,1.6564095131962748,6.359100842245757,7.167225372441423
1.3513423267638345,1.477798609224258,7.635228861556524,2.035502323690224
1.1388285205136102,1.7738256244251909,3.202133950163633,2.426382968699036
2.7041742975665173,1.3346856769063522,3.283925811478825,3.950195860606529
1.7083549307368635,1.3688620851061866,7.568415265864584,2.377715781605655
3.8657134540466807,1.910828835248942,7.433193452914702,7.643590449529693
3.014111153629987,1.6824126288218395,4.977935695596858,5.388035105531586
2.664509937855812,1.8828694190033528,8.501853254369074,5.144676117492055
3.081890965922728,1.0438519911532766,3.554164347724263,3.3654610050115186
4.675678553556413,1.7480184805354926,8.140066830191754,8.368401499768193
3.972873393624566,1.780592280389188,7.006001025857719,7.314236715035749
4.718107798350294,1.2958457110882489,9.424295637488576,6.172568712268439
3.06000084151236,1.5822114686893634,6.014148455484851,5.018346710774463
1.414686737781364,1.2857299597500118,8.95191038327149,1.8379611178606032
2.921731796349764,1.35451034615618,7.026009681139545,4.033174294289148
2.318406256546457,1.5598353381411671,6.952766166171771,3.710926409717548
4.488847635026888,1.00499931709568,7.2250197453511475,4.555576492741491
1.1604888832664346,1.633247229212452,7.906720512512048,1.9371436297187457
3.0767522915542758,1.8458863553554168,6.918905303757375,5.892923971831681
2.57878691285733,1.2510370302501692,9.612821159134205,3.2538307963640696
4.543033835076608,1.1116442120258574,6.610253172543779,5.123201588955126
3.5822483546048107,1.545649194683835,8.623578060221222,5.628038369201516
3.203271526823207,1.7877302852505623,8.720789009992075,5.85084142697307
2.5290013879349806,1.734312326732125,9.365802866154258,4.463267978096759
3.353179007154369,1.6934499616352825,3.3729834903175044,6.56595364387367
2.119196856190374,1.3786342224472246,4.447980173414666,3.072926264231885
4.355615425216192,1.8670314837621689,8.349900040170446,8.343314137795797
4.18226525393383,1.3781695142891,4.48057614428274,6.057541424122627
3.453533846595349,1.6531041250337173,5.596094341473413,5.975731959140598
2.1187862015709107,1.4904693999941432,5.705868976165751,3.2715746408843005
3.535464232255709,1.928724072420397,3.820519647205036,7.899443985915783
3.796868528262032,1.3268977455947015,7.648811688608164,5.115620300269692
1.28203262516878,1.7974605116140625,8.184168464939745,2.3620753945656183
1.2743137061071583,1.292001253563433,7.1257703989985055,1.6741637118064556
4.762423618945352,1.3268685498439012,3.253654017765731,6.920749001849246
1.908436217709482,1.7630423608868164,7.632783692392607,3.458170379265801
3.369072385947101,1.6408010329763387,4.637774352220598,5.910223202186272
4.170332781492953,1.95940966986192,3.134932358380327,10.468020773407032
2.3415525717492147,1.4084687670565044,4.394063849165201,3.481715240420969
2.2708602060042176,1.35990728907636,8.457265471918861,3.1288740848005183
3.76573591465982,1.8637745545723727,9.343098046037026,7.162436235773143
1.4711277535447973,1.5786990878758664,4.31162594168939,2.4957851083211247
1.6508622687745986,1.5713274409992208,4.933601730426328,2.7365523993121696
2.952185654530317,1.4433982319820249,8.248807721542866,4.327953307790482
3.979096582298574,1.560702866074004,4.954402824844048,6.543326161858592
