m,r,v,theta,L
1.2341628510623344,3.6459339354725424,2.0603098176832915,4.936619011829331,-9.038640030957083
2.522511820008584,2.4750195605592507,4.314741152701491,3.514476444747945,-9.81361052085114
3.4304302313684416,3.622480922683139,4.893427370865195,4.129182994856279,-50.75735532175365
2.482435068114055,2.655420062760672,1.1357119608263502,2.08974913801466,6.500827648887668
3.4670013546569787,2.5147864127567514,4.684341074356663,2.3051720176211017,30.31470878274411
3.054991884943645,1.4294646464039813,4.925068854275101,4.742852220111889,-21.497811003317125
3.115849432783523,2.781953218263137,4.715546275943688,4.370614354764869,-38.510892957619134
1.4056599582656073,2.1408752149452157,2.7562299977099425,4.55833239377012,-8.196207000612464
3.011968671702601,2.0369813047511838,3.896368280043194,1.3842916768695963,23.490921152049975
4.057751144562614,1.7577234708604568,1.8760912233574247,1.1503395000730494,12.215587021586376
1.5366962123606922,2.790583820439763,3.963378343436869,1.169231101283807,15.64404247658498
2.489765594476705,4.08875779005354,4.4457945587796885,2.1695404664004183,37.38543659160887
1.193830019286974,2.722544090417332,1.9347847419752304,1.6236846055195748,6.2797505055411005
4.937927708800617,2.076095799964213,2.9714172362019697,4.673262555631484,-30.43849988301948
3.673767496176421,4.989578201063424,1.3330187837683325,2.6268359596529183,12.0298987540147
4.347954453496505,3.972691903906934,3.770332098799112,2.712093252549498,27.11918263842774
3.010159233188734,1.0456202033162003,2.597247026634933,1.018211141767555,6.9581409510857615
3.761825229300724,3.675760865394351,2.540489129437633,3.5943221812376804,-15.366095763798386
3.6810281974422936,3.8419941388314314,2.930842229222173,2.134909711149421,35.02735610957194
4.035204557895364,1.5633679724928102,3.23984895088418,2.053786817737812,18.10064483025052
3.141403804308222,4.112465313326135,3.7441852343362174,4.506483156597515,-47.34903181611645
2.5769412251830155,3.224200047571382,2.1511058284479643,4.064141440411743,-14.24703803291806
4.3879078166296,2.789259947979804,2.3204513373891062,4.092115219626306,-23.109662376720703
2.633453901998533,2.003982886159031,4.072165604835791,3.1156082562033456,0.5583531065089611
2.222187231577238,1.017561177494347,4.635398207347713,1.9142023375433448,9.869628993712746
1.2725349049954424,1.6128610350534331,2.071295242486602,1.2225945409135726,3.996049663427797
3.1937651865604995,1.5206834380381649,2.316805895790201,4.754304656461715,-11.242161641575152
1.057681829599335,2.7495015008990444,3.856342545198376,3.960664011251193,-8.192415072659305
3.805666179195303,3.4742126589913385,1.9697209109173683,4.267864527069291,-23.51205986009614
2.129986219933476,2.7591220360179687,3.657014615843675,4.261592861734301,-19.34485230889769
3.024126173281749,3.316793962019754,4.992038640640361,4.158493880853878,-42.58547914190937
1.652537414073216,4.271155679749592,3.942989941177745,4.545979884932933,-27.446133599466823
3.852681028002781,3.5834235900546565,4.025862414665529,3.0523205232290613,4.955175310714607
1.5614508401337095,1.6687138826062848,2.8744831244760776,3.996650354395672,-5.651865413632792
3.835023116494129,3.047734681435485,2.024662527951652,2.692112049662157,10.282183658557251
1.3201442775597143,1.3565426161873018,2.3024409454822927,3.2316622037935843,-0.3708804747948522
4.915674826272656,3.0492068398986585,1.625797416040998,3.862198543268004,-16.079596297306757
4.7452260380027695,3.39066122143334,3.335505471085597,4.953234987740967,-52.11746120535782
4.85826199791741,1.4485531622003252,2.2083891275661864,2.960798026289018,2.794524785419688
4.519456892190941,1.1857295417778857,4.770815221773205,1.1775160049057964,23.61430591390453
2.4864956028022456,2.605124098579736,4.251491999858713,1.0313492201597383,23.62877070315629
4.781659360460734,4.085317103488666,3.784845693074579,3.170139842678837,-2.1103619470237818
2.301458027466818,1.483341941726818,3.858299581487296,3.8257582511795194,-8.324835258217922
1.90813330151738,4.811020379475623,4.199603302473676,3.084769780547266,2.1894933394704146
1.9304605322689212,4.097584774009288,2.6721008562388966,1.0882834590005197,18.72375521372459
3.810962738720701,4.7373182563298375,4.772297814890194,2.109250048486916,73.9667341908222
2.2550974587703783,3.6331893840095457,3.3577849763431864,1.9846366003931104,25.188603725247187
3.755565247700041,3.6873924341879714,3.3199542367184485,4.92044941732966,-44.98399651461066
1.8211721986818896,2.9187407622882287,2.549137314994093,4.22340930495702,-11.962123557484135
1.3269785283534818,3.971254386722467,2.2845721321585395,1.7071502232368956,11.927422960373866
1.4782173353082273,2.1733496918281374,2.695123991702009,3.894463805535364,-5.920188928538961
1.7351975611864805,3.5178997695684213,4.922040594569749,2.5939489135682896,15.64393432214906
2.785777811688187,3.7418917740007496,2.699892248450558,3.670101010986003,-14.191437901876329
3.040477798261309,4.864104433155724,3.24413686438561,3.0012638469516086,6.710647450570369
2.528343669072349,3.0823552606068785,3.366413808894212,4.504523882870596,-25.670567322882015
2.332604110368305,1.0051023872224332,1.6545268668965578,2.2102137529446635,3.1127170589754063
3.149119207773892,2.839542823311364,1.5570452385617846,2.844050301668299,4.081881645099024
1.3990800752018484,2.1245217519152613,4.141339582964655,2.766834381287817,4.505906209594376
4.060939974788498,1.4192322725570246,4.595801816386123,2.449263637570557,16.907825313492683
4.732473384224445,1.6861222046198785,4.646749244632957,2.202808876961865,29.91672073616392
2.7284347448757744,4.5823229510302745,2.328840291738692,1.8142543025902176,28.257847393635814
3.9368124959669775,4.560148364848005,1.0028022479178156,2.1196321340996938,15.358735622430835
4.438216960437789,1.4570506013692364,3.040288934694364,2.995400231873648,2.8640118179379206
3.803675834612067,2.3089212517929463,4.928694518860013,3.7013834992495287,-22.98509932656824
2.330421221973445,2.819072253324124,4.454137534237551,4.0920624906397975,-23.8101728088944
1.1822111929136714,1.0794602979578864,2.854833678719209,3.925150445840461,-2.5713832972619888
1.529494458758319,4.496276386661864,3.1427511587326062,3.9465417091541255,-15.578400614129372
3.4158407852149297,2.613650867578201,3.781125747359853,2.9761038186873887,5.560974390767572
4.975152366153739,3.5519041330115875,4.249536307039677,1.8283451104827175,72.61784882434074
2.189623104881248,1.119665041284561,3.9189039668509937,4.65661866665609,-9.59282136915066
3.3342585715940505,3.031169467528366,1.555237007784072,2.9080639700930058,3.637405210430015
2.0896465748725936,4.3332483607281045,2.4017565185073444,2.8522645770292296,6.2048286962823695
1.759289063718856,4.375035651597866,3.827746682566038,4.882175426370997,-29.038346341328985
3.823520721518421,4.7077044232938325,4.123785121852826,1.203845253814488,69.28645591975057
4.836914311797129,1.77978781002619,1.1642109788588195,4.518482811156924,-9.834493070691805
2.144082701967484,4.495507545685536,3.4277056270413038,1.146590963335199,30.110408465716954
1.1692953067349785,1.7455720191347703,1.4036331314553203,3.0726768450213577,0.1972834337790164
2.1002636665173147,3.793032254570004,2.405055557487178,1.3849017449051293,18.82946299979916
4.803147026674141,4.621387725309654,3.923379120412265,2.469472006280279,54.22509523089968
1.8556112789899868,1.9788585480389116,2.77738204169416,1.8916071552062457,9.67819702187767
1.993490527658104,3.1594636076690708,4.9894025595984886,3.772343743038689,-18.532974489688904
3.1764709785633607,4.8345051931438405,3.546731029306778,4.547127652291326,-53.72388477184049
1.0440457508193135,1.3176315745465006,1.3580376312210212,2.756855892582469,0.7011669358575202
1.901525660183064,2.974193220066942,4.776819841076556,3.4802555043715624,-8.97519924269796
2.083584283657401,1.3331839711421387,4.65783067376086,2.971357904222586,2.191963941966252
3.660327437477076,3.887993005010279,1.6606544291919056,1.4727233737826784,23.519751855329964
4.595012843963277,1.079834774306118,2.681001456476509,2.501584695111195,7.944420341953792
1.0698143033802303,2.715016882387692,4.5973685327833405,1.399736334350285,13.158456912315474
3.9899440965363375,3.563886423105353,4.284264645153208,1.2090557821651728,56.97832152389236
2.668126709209763,1.8353335592146087,1.9942456429912263,1.9443244783948772,9.0922446298136
3.1163668044063755,4.025705593641827,4.607442475807757,2.6026848008423284,29.66444681094237
4.491850318485477,3.907299210539357,1.4224978927067196,3.3062787486687,-4.093036438555064
1.389269541792793,3.545491102894374,3.755616406955088,2.5354143652776417,10.539350795094762
4.33680245576196,1.446295719999163,4.873674087337797,3.909747219995393,-21.23971982489344
3.005944480076689,1.743806899726644,3.314986287969984,2.868721860875901,4.682903535663876
2.3125496073234166,3.7632484551139247,1.2205553292071438,3.114823384653389,0.2843125704819818
2.1627584110050497,3.744845501454424,3.7435378454142514,1.0089771490112391,25.659134967617533
4.390212468017231,4.433417662603394,4.062602960196514,1.5111845042440186,78.93260960827915
2.997223149413899,3.071061613457235,1.8361710227210295,1.135951285928848,15.328408256913768
4.611185685938057,2.0731340184741227,3.359137443809048,4.225558159781436,-28.381252028094423
3.9573569255832273,4.064665098062524,3.4719320006404915,3.52333569795756,-20.80522849477563
3.745363486457058,2.140082039870216,1.1433675386931177,1.8047872278334136,8.914786767305456
4.202778399997422,1.4514411480227674,2.3223570286095416,3.851190830961421,-9.229935266338677
2.316169473287978,1.874220702190501,3.290989518730399,1.7794695989780511,13.976311034445091
1.7828680162009158,2.0481507238436443,2.1070830075800857,1.6540506780951718,7.667537351935021
4.56550598867894,2.6659526503794044,4.981774605958467,1.437652004340844,60.09862518317413
2.4482446019348685,2.8912198316870628,2.0150874963862417,4.544366787793539,-14.062754042015488
1.160789667053301,1.4964045703095366,2.5139362283128657,3.217711181106484,-0.3320685360890822
3.972393382853484,4.707008593444521,4.521454274216616,4.447014496658721,-81.5830910110455
4.941998880183277,1.895636453535369,2.2487199329541743,1.1272150500850295,19.02772339420187
3.0138302459944537,1.4111826518531618,2.584391012034088,1.0685158755696746,9.633979198379569
4.92868941638271,2.506677782873652,3.164760135783857,3.611157499528416,-17.69243826979563
4.397933713155071,3.4408244386132583,1.0679122756158792,2.325457146819378,11.772770437217062
1.259023754438549,2.67988494883553,1.113879744256339,3.96734047626049,-2.762537781847892
4.35119346756486,4.875177149817883,4.838159053183467,3.919738835155261,-72.04295065505003
2.8365511785747244,3.539173224151824,2.9409824110276297,2.3856858111113595,20.25240391016659
4.158567130605283,4.402011477155339,3.576985784334447,3.655008659799008,-32.16112885079688
1.0269719182625132,3.4567915940622505,2.669972669492406,4.671453760440849,-9.470537057329514
1.4740201211670438,1.3558700475898418,2.119921859741243,1.2123985357095046,3.967624667546665
4.446521557667526,4.019404266497155,3.99498514979048,2.7200673544227185,29.21343965766162
3.336152708363876,2.7969872515640013,3.1081649418072885,3.7871852851614394,-17.450191550899643
2.3261775354195287,4.576388073084221,4.83245369278308,1.7486059571525412,50.63275219555956
2.715429260919912,2.0884067543539224,4.236670275357614,3.850760012978001,-15.645665551887683
1.9450618795869188,2.6134409318756084,1.110810390463404,4.331758007561156,-5.242463333146531
4.796984243392345,4.236613598514131,1.292179412425306,4.71763212889848,-26.26056076081509
1.559054307252039,4.6562463448848685,1.534018886552546,2.9076407101384,2.58157983170091
2.807836368051128,4.1473723742745054,3.209143638024402,3.345671066531525,-7.5737727651492195
3.769464046822066,3.491430408291225,1.7615226362808336,3.647669524804837,-11.23799131172944
1.621031431905592,2.39276061025427,3.1699590991539788,3.202381039569153,-0.7469601882646378
3.850677542802556,2.823140158102031,4.16791179283351,3.235026518415285,-4.227273531624001
2.711055336375762,3.11147235363036,4.269443343538668,2.0774477509627363,31.490022622581066
3.234732598565268,3.984677562710021,3.801483894317453,2.532824141674588,28.02029165855899
3.4995413425552444,1.3639495245556588,4.8284213660266335,1.8709042573129016,22.01691439258832
4.904978203104988,3.3786831144913023,2.1135151443104414,4.447126796665181,-33.80087408963977
2.3697476418456347,1.2232672368181583,1.330196271056863,3.818087991675496,-2.41411485363711
1.2482065929831698,3.5446908502709413,2.233365493995791,3.976280512080128,-7.323080659131194
3.5448082747768352,3.9848871012728897,2.15564706962321,2.951158690772242,5.76371767917852
4.208418624744342,4.562520343921625,4.748837714547847,4.038271286236833,-71.23698864429555
1.688215532559295,3.4242563277632767,2.912498775948877,2.1342762853778643,14.233867320291868
