m,omega,omega_0,x,E_n
1.5583046898147936,1.8203282453945155,2.014895116975236,1.2113330851600597,4.21489905345924
1.8749361302044056,1.2720836166195502,1.2833936616637671,1.812941461102119,5.030563181100377
1.2711318606038131,2.3568369099356747,2.349445444030445,2.105009438893877,15.59429487309196
1.8012574075628065,1.552269249284895,1.5209765655143688,2.753738777839491,16.127642803959553
1.9090489218385445,2.824720269351289,1.5661810642177278,1.965914654059168,19.2421068200068
1.4472423318736307,1.9288656556993768,1.3814616528508918,2.021903489082833,8.325880933418803
1.1156678490362395,1.340752625415559,2.631733134996038,1.605400872583706,6.271038926740138
2.078858329580168,1.3259812031476803,2.852086698918684,1.856941241444668,17.728531322813502
2.3664265754249394,1.843587134756924,2.6492879053683023,1.86380871661764,21.40922238160725
2.1844224995553767,2.2934775890520074,1.213617672391592,1.0166154636624591,3.800079724940428
2.6045100902403835,1.3328854270019006,2.424082171707401,2.1335215806399423,22.68183096911333
1.6334564021637838,2.9310391503162325,1.178078363916916,1.788059513011849,13.028439096317342
2.7222184558785814,2.3841166601679085,1.548050784112416,1.190632851434584,7.795707117883451
1.655419221677409,1.891877725362597,2.8078655279370826,2.194180689515937,22.84035356079784
1.597960092449357,1.330756810448664,1.1072470275185249,2.7385075282701767,8.978576118168753
1.2129468491750235,1.2321474616324049,2.7641011473795047,1.0576390676747938,3.1065501769376165
2.212877081614484,2.209495109869357,2.9689140469742448,2.482558171284155,46.69818890915772
1.972434457442195,2.7060448082385,2.1920329170452058,1.3560779841449728,10.99739674936647
2.104959186957716,1.6906922841507095,2.579444847058804,2.65770758676267,35.356464588474985
1.697327467656215,2.823173823068265,2.643727287169721,1.378278838729035,12.058684534079488
2.2643335416548203,2.3737586437096674,2.6943131960663456,1.1743916586571943,10.066901026556426
1.117030678253687,2.8478916050094503,2.631331802035606,2.943990067360909,36.38846262717694
2.82458174126217,2.3708211059229995,2.459007865356159,1.0782990983758385,9.57967799588254
1.492804261157895,2.534730147646883,1.8885112645805424,1.7407182800076824,11.298563555116022
2.2722126988241715,1.3854786727934532,2.685901282236994,2.269502230548431,26.723479756290672
1.215247733200019,1.296434623950139,2.9576419942003387,2.7258773063607795,23.541528385933
1.2504679160989227,2.10824320315413,2.577805822072781,2.378277020837189,19.60920870783353
1.114827303498084,1.564544944962253,2.571625134790528,1.6123400357036912,6.565075579093702
1.743597698927177,1.197502989159644,1.095329685736307,2.8606978658541284,9.395211577067291
1.0992471891571485,2.2066783322871526,1.7073548431715553,1.8071850709740136,6.986678966257527
1.9352376465577064,1.684309626330569,2.8223501724825946,1.8228549831651968,17.366216692151426
1.316573788295425,2.674140248203476,1.6936652366237157,1.6418781980724424,8.890257671152748
2.560717987793907,2.4958643766547763,2.8600539757893904,1.483859355869327,20.310870984700745
1.255704072880354,2.950803480923999,2.362241365633361,1.6822979411627184,12.693667431627368
2.411481495452561,1.2883198316939175,2.2033187511801966,2.9578931455308046,34.36070716462213
1.3312751986626732,2.3875571151878603,2.3343111542100665,2.0073525810013573,14.9523044212408
2.139642981446027,2.968621396038565,1.2030886144695447,1.6148240213952374,14.311488580659972
2.4522429530614223,2.376369204030995,2.350586735727595,1.1399686167593726,8.900928809625814
1.2198521740823771,2.4514077232500515,2.630930653774591,2.0425003302644,16.45167707066512
2.9897418745304223,1.6257958661309753,1.5013380500482545,2.351262443745037,20.236073733529643
2.1790346920559247,2.9922908735463336,1.370872003254474,1.739180177222354,17.850313477827992
2.6858301668616584,2.1424581829346656,1.793643554663943,1.1749429927036266,7.236892802622446
2.7935588708200187,2.2947653854697734,1.162742429644105,1.5401189494428436,10.962958140102543
2.0673588189864285,1.3104123833806496,1.2257562342969144,1.544027954778242,3.967126596296392
2.9279727355501244,2.6530508744058743,1.3887885756887988,1.604642176198727,16.90170813783359
2.579049802178244,1.4051129850673003,1.5548958724012252,2.378992078447226,16.02700525098888
1.1697766967684111,1.257659525846659,1.801332727634684,1.3770823536794812,2.676675648882908
2.9001833740442637,1.989886141378532,2.960195014030499,2.7308562351670327,68.79109699554928
1.3906743171836864,1.9636970063794068,2.008668658275891,2.782232992658149,21.23618684010902
2.35914844460388,1.8372201288374808,1.294285040807604,2.627654176060384,20.566978884308107
1.745087705740069,1.19565900911851,1.410236137328467,2.521787455072894,9.484028321145097
1.545826409777857,2.115186646887195,1.824366789969412,1.4614504532413406,6.440108267086546
2.4711548109028207,1.8592797596707265,1.70936686341749,2.645250826128372,27.57506203940673
2.673014616072279,1.1124369654670891,2.488401069498875,2.5236512463291563,31.620498838986645
2.6907032005892404,1.6746026155167255,1.7185635520133946,1.3413281297869992,6.968334986402768
1.3892897983875756,2.4106038713918547,1.22554053118068,2.1727842859090662,11.991107968645606
1.2171706234127817,1.323331472258923,2.0925111083559407,1.7742553389713034,5.871791816130876
2.570120052874033,2.753647059827133,1.1462296877014964,2.209267297023048,27.9000487477244
2.3573375631891222,2.64955483678654,2.9113364644829893,2.1852616545278343,43.61027921963473
1.5273317016075731,2.0528408339011976,2.505626360704733,1.752573639225152,12.30544741763532
2.314210138304425,2.9762762612913223,1.533669482833687,2.476874721583416,39.78968831228401
1.8373580169277697,1.5947141767263295,2.347645845476851,2.9965768876036813,33.222029777617614
1.0856525717771182,2.5437100343969608,1.8782189929019184,1.9589981985691391,10.414042555907375
1.1147221421726603,2.971249038488444,2.4037685148217447,1.0276914998213844,4.299085340467052
2.9572188436934788,1.4276241823075917,2.5266668516672945,2.1292876884917216,28.23029721822222
2.117854171788108,2.212232602518465,1.0608290491199996,2.7488836747207848,24.082248701035
2.433662172576561,2.4332387190722367,2.2921916647104847,2.1032982396097277,30.077484766882616
1.2699498084762957,2.670179130169579,2.7641523144035065,2.375543558936231,26.46334021010394
1.4440180169653776,2.604857607075693,2.400108410837153,1.5824710195804097,11.341816947832273
1.8674925782348928,1.11509918193727,2.136696479781692,1.6650250413799903,7.518577497779266
