c,v,omega_0,omega
7.440524841312601,1.0369607429730854,3.433886942429863,3.951014665819829
4.321995228665704,1.880042621545789,3.641153325351576,5.802799403113501
4.571354907512635,1.4036958936288906,2.91142006124571,3.998586161104375
4.418298979716782,1.8984912893227757,3.296755727847177,5.219769191097592
4.017192486622445,1.7102098493322129,1.3102917591533774,2.064546613142138
7.6884380367657075,1.4003001947573304,3.085764619598172,3.709826219126336
7.580857300530273,1.5995639771312071,3.32411422474175,4.118221426434719
9.84667812579847,1.6304207633653405,3.022493914669943,3.5722716726629877
9.008633181357972,1.5160754751066086,1.695644891537838,2.0096706913071536
8.769836464257335,1.1379457064774372,3.0333594524691323,3.4561774269880727
9.65969626420348,1.99060367313412,1.3306566810409048,1.640070743435242
5.1950471443910775,1.9537185880734635,2.3548001390506728,3.4971000527904432
3.845654473414178,1.676321216776722,4.510925147471097,7.196970602713406
9.78414072867433,1.7444666329277865,2.634166270769425,3.1543682056994227
5.384665289944456,1.6179940354897535,3.965594478807684,5.407056924116787
4.719358032039716,1.6129630916382656,2.874431215764417,4.103978253180816
9.646395828276743,1.7542250736721363,4.027544906553955,4.840680370747717
4.392998709410772,1.9443883955287176,2.7770180747248614,4.467596963872628
4.965564896497199,1.112447818825559,4.341135015003104,5.452278014895457
8.537164372279097,1.3611824899651237,1.181402962964487,1.3875183110378797
5.410209805731604,1.4155811339842437,1.731655833889644,2.263600932689388
8.362632127479753,1.6736359673359344,2.58068772312544,3.161120923903872
9.843800496428624,1.354650024691446,2.37626910232194,2.7292446837408755
5.646043555407013,1.3825179848854354,2.6784847095945223,3.4390458137227355
5.528310193660505,1.4955035471674631,2.506490752377448,3.3078735520412117
8.333683194797032,1.166950132881558,3.816777395478635,4.394530627989771
9.36846307485099,1.741538252138645,4.109162957678794,4.959474790804533
6.651502921019288,1.2977580880142616,3.141530696894172,3.828034578380832
9.938974610443466,1.0413592976072517,2.010322154065861,2.233246281973735
6.414638901481832,1.8886523704431184,3.572925711082281,4.839410853912295
4.644411774134876,1.7505061039069911,1.609652693540249,2.3928059566626154
3.911649743185415,1.3379907629570589,4.730366393603476,6.755913218290222
5.526627869649945,1.9593744578495484,2.866129337742306,4.151965942979712
7.462690531954663,1.6154378146451671,4.6216311620725365,5.758607916012753
8.221481594699654,1.702610548916326,4.072154292065927,5.024390940038553
3.62235743191593,1.0038734959982931,2.873508335623451,3.819452894203142
5.155351480023009,1.1575502245720075,4.445470406960098,5.586266328563424
3.1933940062003066,1.8530908228478529,2.3249051708824244,4.511263605695135
3.560280455217082,1.49783937282068,1.678744517811003,2.6289866985858814
