omega,h,E_n
2.437693404484051,4.478367708509671,1.7374765970078927
3.680382563385574,4.956415283772511,2.9032255926703536
2.853223139198465,2.255594691489575,1.0242758492348465
4.66785918988656,2.621043450156065,1.947206895509325
4.670378511646515,4.579638847556335,3.4041088745685446
3.4109221228813653,4.59290282138087,2.4933267245502364
2.241350635748622,1.770769814017715,0.631672607821693
3.438152895175244,2.0122231591011315,1.101086557529488
1.0077978985688645,1.374489757490057,0.2204626827765331
3.290779333177837,2.9924301568149883,1.5672667340835147
3.52206659809146,2.9767147396420173,1.6686102739258275
2.0285578879308064,4.579139765504179,1.478398238650838
1.7190302536866384,4.770027520169424,1.3050421429906625
3.6056925460397142,4.318362359586357,2.4781517987806114
3.024938654797807,2.679362817302331,1.289936196378701
4.6759086758710655,1.4327074024605482,1.066212222882399
4.70382413684877,4.441733771870927,3.325245636430444
1.8052333285809468,3.887581744644827,1.1169481385494835
3.618249503495993,4.4619497903964405,2.569468641212642
2.8843671185275395,4.6120671951385095,2.1172214912866374
1.0040051147572375,2.0637467710868287,0.3297710018781861
3.993522023361453,1.3486981667043634,0.8572174093682429
2.495432146537266,4.796033890683763,1.9047945526958785
4.291348205138984,2.712702363271926,1.852746632253756
3.382130946603936,4.762225924413554,2.5634245826355446
1.096650852651193,1.7504005945061794,0.3055103758045969
1.9965822853209647,1.7572666981085945,0.558399504152616
4.796148718581654,3.495225326866953,2.668013062331912
3.757813063294418,3.796576729774396,2.270635821395177
4.559233441184894,1.8655506660619632,1.353689341808131
3.474806396315972,4.352544240134928,2.4070989198085746
2.581328598143242,2.706816599973204,1.1120447285639763
4.6327252450444565,3.094348938436614,2.281528833423293
1.6894207054163433,1.8426045146255592,0.4954388684581695
1.4274429611007906,4.129556317366893,0.938171613522044
3.5353966606873,2.344516756157129,1.3192029687827294
4.681615906148968,4.832275128258772,3.6005393757039013
3.8119873968034903,2.1713981694619244,1.3173799674462543
4.592167810650462,4.993488361922493,3.649571896642259
3.1228790939826974,4.587620785367717,2.280146827020177
4.449503938908137,3.7168506209990766,2.6321269658513757
2.786621168670064,3.189501147337294,1.4145582185060843
3.660205034109817,4.867818030088786,2.835697371284335
3.925773928195081,3.1588923363654566,1.9736959153358784
3.1346204047970714,2.1749790409287613,1.0850760161268622
1.9777388061172412,1.2096654818650996,0.380762662398545
2.621346758120143,4.212130544168286,1.7573021018682464
1.5545308262457915,2.953290624703909,0.7306773699191962
1.9356358592318983,3.4054746262354767,1.0491109973652302
1.8562071778768168,1.6278443069696855,0.4809051682130628
2.012343811756023,1.6094299847778166,0.5154593270743495
2.38648675445349,1.9147392475602516,0.7272584889885974
2.5880689862170145,4.192903264527264,1.727073509789917
2.374437954818822,4.172388178040325,1.576760252615153
1.52727514940468,3.491000494460205,0.8485693228968028
2.505168981193689,1.040437653033253,0.4148329243555079
1.6585330247276615,4.8611094190536335,1.283156570140087
4.762982023917445,4.527812503897204,3.4323179262417103
1.8167920769252175,2.0918682476238155,0.6048667152808138
3.2025251725306174,1.907467408415774,0.9722317729914848
3.737446749678324,4.325083199296194,2.572702754258568
3.453261351684484,3.4521142558768183,1.8972944706559371
1.7972416687399648,1.2453060986199418,0.3562072263280758
1.2609541106155318,3.2181548980813086,0.6458421085713093
3.597648801536852,3.2423322752015906,1.8565062549936748
2.359551956839567,4.431880589880383,1.6643234294526374
2.357603132373243,2.674398890335388,1.003499163690991
2.8406530581637224,3.3965804574377554,1.535607528986081
1.8679839388545645,3.714480675469628,1.1043109352567435
2.605147328086057,2.028475387417679,0.8410506737054374
4.8285222669781565,1.6715396409452563,1.2845501098333525
3.654992873931905,2.8484495615237,1.6569721152784096
4.108250736633015,3.686164012112199,2.410192486413836
2.9667205955162745,1.1810388580338147,0.5576490478850353
1.406805334097855,4.38685042128423,0.9822159097393122
1.8863533720435413,2.335191960230916,0.7010770832299205
3.5396158820647745,3.6026347078084435,2.0295347670974047
4.830250701727681,1.5550481945547086,1.1954561684477718
3.376622347539431,4.333147208998749,2.3286599050905714
1.3268457708932315,4.525584548541939,0.9556860772817246
2.2367156619666733,3.349996281699498,1.1925462618849387
1.3901972982193684,1.52931362851748,0.3383709966449176
2.781346722294803,4.114595644348018,1.8213878072160343
2.0873583960981974,2.9502897657840204,0.9801258139712928
4.731614387307418,3.6583633328715366,2.7549664276228425
2.7147840449320104,4.293990225279802,1.855309939588008
3.138426111480496,3.004682928645459,1.500827191775687
2.499563916148197,3.862658857964524,1.5366350393527186
1.21640333784358,4.426336121306379,0.856923641297405
3.6360100264199633,1.4363145607487624,0.8311793920844514
1.919584297670858,1.3937669600499951,0.4258115971953375
2.4623323526798173,4.182278526104367,1.6390030246247045
4.850602310371876,4.5652634539437145,3.524371218504752
1.339053250558576,1.549525207664312,0.3302300767374207
4.301402753427844,2.868999939206781,1.9640872638257272
3.8629332625983768,4.457542433506552,2.7405190351716
4.978757694257695,1.0974799391605092,0.8696364064171754
2.6616298223586994,4.248337285798884,1.7996447124359067
4.990915237734415,3.676080689401415,2.9200168753435047
4.22303806647408,2.375058468286777,1.5963180825203072
1.2355913199024555,4.814513533649675,0.9467763309372677
2.511923176041053,1.6993629066470497,0.6793797828680219
3.3492809765727407,1.875795189514469,0.9999012979942822
1.4487465636154586,3.8740033474986464,0.893249007109545
4.422279426966435,4.245414961303353,2.988040352853261
1.1087075563216104,4.804527068668651,0.8477890122861531
1.0773868491231269,2.1409860615051755,0.36711796868156
2.94958060237054,1.3573156252917151,0.6371786990080022
4.426182810357544,4.132563147225902,2.911179452891083
2.2588014371348253,1.9839195823484648,0.7132179276406228
3.4825870148960343,4.426958493984998,2.453734437693419
1.417609689448299,2.154964046604765,0.4862021034759075
2.7192260047539367,2.8075744682922497,1.215057193321974
3.758850032805952,4.612765400217282,2.759538757534422
1.9041933638645112,3.2485242725736523,0.9845035694107588
4.958829572866415,1.9563686852121165,1.5440096730195554
4.6680024212856335,4.790778728377012,3.5592403551036007
3.8784471958967353,1.882027551683589,1.1617267553905972
2.2491005854231982,4.409506366700351,1.5784069490105233
3.192075631421225,2.1787394027385147,1.1068750346662457
3.1191566158405197,3.1332424392164864,1.5554330177317903
4.613392924884513,4.985737006013761,3.660748920232564
1.8877862468343365,4.494454528231499,1.3503611672446925
1.4138013994397371,4.190127461290968,0.9428351670346052
3.060478892232594,4.97216113917804,2.421891679343816
1.6049712103679314,2.107164073380887,0.538252097934071
3.133402250468121,1.990321477529208,0.9925662688507436
3.0158894895731767,3.8587106905007023,1.852156899063124
2.318892925053633,3.2320833458123186,1.1928432534408526
2.0826953282146263,3.5122835367713177,1.1642210369062556
1.348060807046489,1.4451006203599517,0.3100471199408695
4.724252847955157,3.90988465549022,2.9397961091119376
4.539718132933292,1.527837789084637,1.103891191520765
4.447381401801644,2.088272088738704,1.478126459002514
4.528866731995559,4.944471521245476,3.563933178014111
1.847545714673985,1.893197270603152,0.5566871472561147
3.8265958238877023,4.4448895071921735,2.7070338998960377
2.86451167454114,3.528759231021988,1.6087655416365054
3.8819125743417175,2.445426658921435,1.510847131318937
2.5025323627840064,2.9406606053720394,1.1712368763815608
1.745890257961686,4.721357710557529,1.3119098081980345
4.662829133486669,3.625886082845319,2.690814680012076
4.6971180702515865,4.011618869863585,2.998964150089155
4.681130320758159,4.562715138171889,3.399336981812847
2.011423736647319,3.718205096445386,1.190301673924436
2.803419473230028,1.3411010798242944,0.5983698870783258
3.319772536121095,3.434182703695849,1.8144786229246432
3.490029116683076,1.7244189056642334,0.9578377679311896
3.677977320586076,3.848344017342336,2.252698484226588
2.6031961404020683,2.836570952469116,1.1752240614337126
4.82484900611434,4.807761802086755,3.691873407891797
2.856274284933225,3.704553195074519,1.6840534714403153
4.695817145583188,2.037226790301637,1.522546928610967
3.088146776757026,2.0091884816199936,0.987503731001258
4.113329497890668,1.0183860740137298,0.6666932891021313
3.908022601164207,4.829118671727064,3.00362061441172
4.898420132746871,1.0676046994722077,0.8323129269694102
3.2601182213983995,3.744320629792765,1.9427929171525269
3.570476893751548,2.861916350126487,1.6263098572471122
1.336129249898344,4.708251763867073,1.0012171518162838
4.409774248354756,4.805278609536288,3.372524099247836
2.409426589141364,4.289639251762799,1.6449571937997185
4.94266459329369,4.641399069859887,3.6511542672040807
3.175815962735275,4.661691920314427,2.356237304822413
1.2150255862125854,3.533474460982306,0.6832938499229776
3.1512257121710205,3.768791530743961,1.890173883925098
1.752018643543316,4.632130328281672,1.291634465276475
4.676093913980697,4.958417667146202,3.690170756196355
1.8516169868707828,3.7550576984367137,1.1065929590140282
4.290223532657807,3.814633243176253,2.6046708012308777
4.142619433017641,2.255990157600475,1.487415731140896
3.920373229524689,4.260956021932991,2.658609782124425
2.437299835710106,2.5296867018491644,0.9812865101670292
4.862296566003655,2.5116401317883383,1.9436541484582308
1.401439641086243,2.3792080215491564,0.530672942588427
1.184822798546754,3.0665828597232667,0.5782667720592473
2.5651745993013377,4.051604566601972,1.654108961068658
2.2889683342120213,1.613453072821069,0.5877819627895549
4.581692663921487,4.019148015069868,2.9307588548786843
2.9157588752772514,2.872656815108936,1.3330777614832745
3.516097293474846,2.565271552856919,1.4355369009603565
1.182323434949712,2.946896601963579,0.5545252515302949
2.6844344559537574,4.97379832224473,2.125010634007889
2.7581045103238333,1.4018220749532315,0.6153521818275913
4.015019196006369,1.597578972548278,1.020869181526136
1.036260885104452,3.8750768334359353,0.6391010853484771
2.617576731515856,1.7742888214877492,0.7391692122796527
4.683609799163527,2.7100415502041018,2.020118226685537
1.096007351408176,3.031053260876216,0.5287217381021778
3.802943068909644,4.195380020068839,2.5392839123385054
4.565358102601436,2.398444101372609,1.7427078267652136
2.172318827395065,2.052439467393884,0.7096007326114981
2.609980909284362,4.347121321307704,1.805756651167288
4.428137671698229,4.276739380087984,3.0140748418422616
2.6248484276998125,1.629732918214065,0.6808333160342597
4.555448024366891,4.396400166341035,3.1874871538803253
1.6466739225089722,1.304286553803688,0.3418225868929067
3.5319920116159897,4.136927675164747,2.325507650493582
3.3922652831112083,3.9277627067940255,2.1205825420000552
1.5066754458521947,2.579388167109447,0.6185239853207505
1.698687051206202,3.861665045559136,1.0440182945887804
1.8691731392952708,4.89784500770054,1.4570508239450246
2.3818940977580607,2.352611685029794,0.8918520802634904
4.864043024472746,2.9291920548341945,2.2675944580811365
4.994565665939465,2.7211557156500583,2.163073384694025
4.806869701750065,3.079318381565065,2.355792724030205
1.27962856967192,2.880780202197379,0.586697426457369
1.5238577930974246,3.444453831186791,0.8353816666238665
3.7123747421932194,3.744339664138332,2.2123160969732774
2.176031223305292,4.713817190303074,1.63251804388642
4.606199368838729,2.9820197900994008,2.186116914190808
4.432649122572879,4.799030190834028,3.385610311428174
3.057963943029495,4.2051352500072925,2.046597600008852
3.67522737089546,1.5093069013677924,0.8828397960266906
2.7646580963015266,1.3874902496551915,0.6105082000152783
1.558356542229726,3.6396972381538455,0.9027182432979284
4.178459400285323,4.004997880292334,2.66341357494392
3.2309687369047717,3.60007463549032,1.8512471030421267
3.044064531027078,2.5859432640410023,1.2528324065694492
2.669248898742338,4.189767168330675,1.779914303541933
3.858307960147141,3.167854675352967,1.945280667838553
2.6245186741401567,2.194777146094406,0.9167696516795042
3.3863247916030867,1.6561775162158066,0.8925974180721247
2.177083973644392,4.571773669325004,1.584090664211951
1.1747698640660658,4.003924671360961,0.7486155209413821
4.643286424757785,4.678886915809841,3.457706726289252
2.7803414262680066,1.505251789530775,0.6660815657647842
2.7573727414965137,2.4438205279652583,1.07246942107869
1.0027282595393343,3.0183973522463003,0.4817034952252062
1.573351725456737,2.1618690265349305,0.5413464981246957
4.785711162406667,1.0082873874424605,0.7679818386835492
2.114042614947162,3.065675149407032,1.0314780788058864
4.708630406947634,2.052620268954994,1.5382373334230024
4.409874283102813,2.045215029171157,1.4354408981462603
2.268970115953423,2.613072979416157,0.9436271908654008
4.202484703760019,2.474846772351617,1.6552918935994478
1.0329706062538326,4.396086000487421,0.7227269926097193
4.385490252393912,1.012766295489529,0.7068829741098506
3.6267122176579503,4.747369824321121,2.740225427369204
2.8152501227398448,1.083003171980545,0.4852514550799522
4.259555195643657,3.537733882196696,2.398333329672212
1.25539435727144,1.5909523182075511,0.3178758010978061
4.852887792434478,1.773749025717569,1.3699747139259904
2.1450509210453177,3.971734704804884,1.3559321856947844
2.241034226676583,3.3051502835082776,1.1788534871298768
3.7394872320320087,4.981158621141064,2.9645757929817456
3.6583072474542417,2.807140077912306,1.6344227313988933
4.9320608033051725,4.3140761731439605,3.386385241849108
3.1565859394414915,2.861627673403583,1.4376424116380493
1.4208826633959486,1.3646853762983202,0.3086106325650722
1.5487815372069766,2.801869928003917,0.6906503949818771
3.1271551136046973,3.998562567281186,1.9900933631630509
2.9044658577990985,3.7639122768889552,1.7399064591462914
1.009704934440447,2.6108877239477457,0.4195684337254383
4.186330030136283,2.452102698883188,1.633775014335975
1.7033494020657125,4.491937886409531,1.2177485365884504
4.910266768597381,1.0586524638810593,0.8273297314578674
1.2412365530341771,3.720059609871903,0.7348938064842421
1.2497725419961443,2.6730347672315644,0.5316866036196283
2.5548212915163293,1.7343256806172374,0.7051983920005406
4.119565471541808,2.304474241138456,1.5109267114887834
3.368180587807261,2.6703763089726023,1.4314888398635046
3.997978102604186,4.840659020883275,3.0801015442837403
4.48562063019005,2.359290406021529,1.684317937554209
3.2095756441241887,2.224492824872948,1.1363150443904553
2.614449558311628,2.001557679259459,0.8328532956835759
3.662303280704043,1.4398638406338995,0.8392587214155731
2.173519023351188,2.6859835948913164,0.929152357361569
3.5472430047851926,2.4117226321966427,1.361565164529876
4.208537528384001,1.11286726236626,0.7454091211390248
2.5809622565855936,4.962130708834005,2.0383088267523592
1.553841481800835,2.2884980440079903,0.5659491194277539
1.4292851797038892,1.2669145982216858,0.2881949474130012
1.453724468356139,2.2742969361802303,0.5261982486263321
2.538157990925484,1.3614233374440206,0.5499611031712671
2.550582020130999,2.52729774772928,1.025925526581263
1.0774516056201051,2.610743919145808,0.4476949333855095
3.614344841470946,1.6427006434967977,0.944948510450474
2.252455103028429,3.079267590490977,1.1038846792988934
2.239627879821139,1.8851283492196769,0.6719499428306318
4.090218118453642,2.11921169858545,1.3795611083582793
3.705697963278321,4.557792163096396,2.688095338606804
3.639358092036638,3.968007953796605,2.298356828568173
1.4484860491137024,1.166020213018467,0.2688069711412003
3.824786925244096,3.444822115461718,2.096979468670809
1.1170396389420594,4.570199287119721,0.8125009071026521
4.603059687422356,3.764735558688444,2.7580441506639377
1.2571322270517853,4.064265553230909,0.8131734075111202
3.814611913428928,4.554663551892984,2.765201565336373
3.9056238354950654,1.535976015120625,0.954761676143635
2.5439165297060438,3.156655888338362,1.2780570204991333
3.468193952068236,4.704378078009418,2.596723604467188
4.167712719115865,1.7221229797381503,1.1423049767981737
4.115008804659506,1.51861250740256,0.9945757658439488
2.8441782440759424,2.128086213594978,0.9633102024396156
3.8567102435099248,2.71425261984556,1.6660476128995412
2.445780718269622,2.8692971166995926,1.116897118248546
3.1003913730390824,2.486264133549012,1.2268286695195387
