gamma,pr,rho,c
4.322976591118502,4.274944409613175,4.080004352985874,2.128268241868351
2.693521562262412,1.8856375343636824,2.980484619272203,1.3054068670657073
1.9052762879286829,3.012395504870261,4.311354857774006,1.1537935096512837
2.1175109221803288,2.4641282685116948,3.804805614553199,1.1710575762845057
4.995020551417108,3.0195921340458542,1.6733445873436006,3.0022723791098564
3.679099866950792,3.9194536579632646,4.118177872330998,1.8712465166428671
3.896832479171785,1.0647131493106683,4.186303083457027,0.995535710866572
3.654179098946186,1.29350268638828,2.2580269146810643,1.4468184057103783
2.2178733984114087,1.6283409606217505,3.3950913531551907,1.0313719540332444
3.708615897315865,2.319348247390328,3.505436416991349,1.5664547786351004
3.093878619186841,2.5086657459455486,2.697676866546688,1.6962039556330015
4.207508527485022,4.63280167358479,1.9224194526884892,3.1842728990863707
2.433013597619325,3.2026955986187,2.3680167967527748,1.8140017856879629
2.2049255363488287,4.348790781564673,3.76245106570544,1.5964149667908178
2.5861806208745635,1.4790620537112051,2.1557238926390454,1.332066960328658
3.672895177540662,3.379547502488702,2.216489233181665,2.366468519804563
1.41533305181629,3.4699039496140167,1.7186108186910958,1.6904381303431824
4.275233734508841,3.9022649975255286,1.0639802280413204,3.959784324814894
1.9125395804770984,1.1706662347600545,3.5623383369890207,0.7927827277720993
1.2592779893910913,4.21671406868389,1.771979589874312,1.731085525700483
3.017411895076641,4.866165489762329,4.053695195615944,1.9032033397688155
2.717364105127116,2.581066016646323,4.544521087334358,1.2423083722381367
2.891365873311496,3.268067370685688,4.553840946658913,1.4404828660783378
2.763916890419828,1.0973463578661171,4.412609876994416,0.8290611926721877
1.8277468057742507,3.1111496041673568,1.1686487312677585,2.205852498102384
4.816249569521592,4.614749191629802,2.78977091883619,2.822567076256092
4.706856407983633,3.71377480398029,4.811071208078725,1.9061293345471864
4.5549574738698535,2.1882896345236094,2.984185121222801,1.827602252195707
2.814397070283184,2.0418203410858617,3.6985017683128234,1.2464892364786515
1.8089403440952816,2.7661888600192044,3.3249220207582924,1.2267676194482158
2.4231462542982984,1.7505460704889857,3.5396584243104647,1.094701993421482
2.3856593763563736,1.1595864798818163,3.098911868852251,0.9448245657238564
2.8884715910716867,3.5803969419584614,1.28445449406295,2.837528796976419
1.1604038386444726,2.890992063783533,1.1258946953595697,1.7261524207353074
1.5988870833635431,3.396592625969365,4.43620213258718,1.1064326044356596
3.632085920279888,1.248760137718442,2.4624757279359826,1.3571616874423529
4.57186270168592,4.002140269746283,3.670686375032358,2.232642064524581
2.310501532848683,3.927295956576025,3.4987843381421744,1.6104281703045904
2.5485036677795803,2.9122802408151944,3.674783955324215,1.4211610871080385
3.943672305812613,2.9026879108640045,2.244812739096933,2.258190225678977
4.900771102781866,3.74220313197639,4.193395247474184,2.0912838757335512
1.397571756027523,2.0556860194900763,4.160677654971268,0.8309663043875917
2.867124978930974,2.0343736704643387,4.143312731626549,1.1864920105439885
3.961393873353204,3.834415479552144,3.992741071810967,1.950464381316934
4.779038203430551,1.7652114205413283,3.780595600681784,1.4937864067716358
1.907725247642507,3.540946327925405,1.842192676537897,1.914917464056235
1.700127264864416,4.10501528970333,4.090445898570695,1.3062093228762215
3.960269518840215,3.1566879775732737,1.3109484013652932,3.08805765773516
1.5311778636138764,2.828007827631299,1.1744392654786222,1.92016187795186
4.08913069455642,3.140120819945771,1.6436943737142578,2.794976370773506
1.6654259888722884,3.8531219723433576,3.9917039759221966,1.2679142531841765
4.857571526554334,4.846993534689103,1.6409278315019034,3.787922473112285
4.537500335429391,2.268297157986205,1.9862546852310292,2.2763594572732977
4.028925537882714,3.326448677181857,2.3074333049387183,2.4100189399352177
4.630024525581095,2.0017329381814464,4.812293271450337,1.3877737559736696
3.6399701975462246,2.464486335572621,4.709285647753776,1.3801764229224591
4.53177945658264,3.104462025800084,2.2324127274781085,2.51038490122606
4.348695988988134,3.558717125039196,1.935572619381713,2.8276231137952084
