n_rho,p_d,Ef,kb,T,Pol
4.53094895209026,1.0394330310763853,4.420577144659481,2.96690115745213,2.7877390346390785,0.8721370201471358
4.787956708105597,1.6261984416722224,3.1219399951828093,1.649785756144186,4.836554236387961,1.6513418253982433
4.030216357769963,3.5194165882193555,3.57338669982862,4.706840585700389,2.6686648075204107,4.73374608097217
1.4104022307639197,3.1494646345698523,3.591963343811946,3.083887516460034,1.535694646433118,3.536907486320468
2.0650136864547965,1.638761376029097,3.4411209457614373,2.419310851223165,1.907552630507305,1.378366956477143
4.065847730271562,3.4875640646575485,4.520629874769293,3.155169668153468,4.447633387496624,5.310329802696034
4.335530895351132,2.944325933743652,1.4906244890149107,1.6912358874681388,2.2816127401283763,4.839660890457346
1.8150625538174732,3.831653635907084,2.430977531557126,4.783462007971716,1.8872746363838284,2.391918306707525
1.2611556142150255,2.201772513824886,1.9418257673878667,3.1203799654112587,1.5264620165969038,0.8308241106190736
3.693955669334061,1.111658757870882,2.6512033704644726,3.6761473129933337,1.829888198779296,0.5997068266411995
1.7821858694742088,2.6881852690114667,3.1597215884031917,4.806636126119155,1.8365822418520503,1.5365522235028657
3.0971129880906374,1.7873678818766594,4.987488357750163,1.6481256679618932,4.389055825255767,2.273967016269819
4.99581209763547,4.200930997844041,3.240672418112405,4.45428990048114,1.35163974168719,15.81873089487052
2.0883857678101108,4.319309230327473,3.0158349267476723,3.726653264032066,3.6126535929339902,2.9092451852965078
4.457387897634745,2.9352692759158634,2.047559319923293,2.6524671624617717,2.2509379623378862,4.390136494901209
4.4775814537991145,2.3025260465855,4.262209364182953,3.0340336443849085,4.350774865260745,2.554930667974807
2.152143542583547,2.309076145569405,4.764643042338161,2.517609422853379,3.2879337845337204,2.20163560801316
1.610318224849793,3.681276102817445,1.4606472971864766,2.212285544206409,1.03625843754247,4.634718214968674
2.0694401737498183,4.187169070048723,4.244041169515136,3.205793271242966,3.093037704815479,5.176443480043829
3.4066290926533127,2.095238675091917,2.9985894282922616,4.149923396314539,3.6990405979088505,0.9737745675509796
4.579551722181209,4.663675408188304,4.259493961699907,4.543546427791661,1.1954222654843352,26.037545483515512
2.4636600066500423,1.5982525195026165,1.2273779055203673,3.462304654663713,3.117475538746112,0.2385394872151567
2.572627590396465,1.3329526427263765,4.492158346948836,3.691626088210131,3.598470256647908,0.5152340319859622
3.815685443213349,3.830926497317935,2.191170466578281,2.633419935465794,1.8055371523276915,8.602180810102247
1.181338811674192,1.6718444793943457,2.0748471205620853,3.62376862330672,1.169488614218913,0.5388583448325299
1.1889615717167126,3.1304110192042187,1.3094464383170543,3.682149699969481,1.128654279292738,1.223699142638942
2.05468106537292,1.6441046194218183,2.139423726575092,4.1944390003446905,2.77047583401399,0.3408400512612025
2.742174881600381,2.6655586377442577,4.905649989786186,1.2246754011277758,4.294525645117892,6.057741524419025
2.301012928970449,3.628263523558021,1.75224293936932,2.644266707136238,1.733202825080824,3.860425031097368
2.1690857180845726,1.414429419053898,4.260241072250124,2.7302743688117683,1.5606372939220026,1.4462518374575235
4.888886049124532,1.7922899329979414,1.6231072134565665,2.9477962950301086,2.3102364136435267,1.2476664737833885
2.633953666445264,3.65922608996014,2.244036921213062,2.70423799240535,2.7458772697025275,3.5527883000190794
4.2377414880311335,3.664119918928644,1.7518513736258678,2.828721652206762,2.2386531734140243,5.246537619373648
3.909685220488686,1.9605015969317103,3.237320142919137,3.603775811184998,3.4835997666216656,1.2916789121893857
1.712295248263639,1.6654845847968005,3.9075602781374106,2.284329782485345,3.668780987870642,0.7381824721269844
