rho_c_0,v,c,j
3.624727229535866,1.356035701234335,8.851159618677091,4.973979663539106
2.348431651814721,1.8007879079399007,6.057848000568681,4.429251984824998
1.149599223703417,1.4453217634479687,3.742371021044004,1.80129800044528
3.712954767074301,1.1616614204504638,5.06177742919288,4.431474900657715
3.335493474332718,1.586553514718647,6.498074169983009,5.45709463636639
3.3695025145056987,1.1724130070237302,5.231298205869548,4.05356029109949
1.56428640975435,1.548090504222775,8.983589375516413,2.458434437811245
3.410778125275676,1.80603478469235,8.748022438419035,6.295610155423129
2.5654156418182503,1.9575294014716944,7.21577246318353,5.217538842839476
2.7192501817764696,1.8898201393241252,3.229599744470326,6.3371105652867605
3.656278141262916,1.0642545234843173,8.430599877822402,3.922590895994594
3.153999501186618,1.755035659172287,8.768400065352544,5.649707229453967
3.3585349208999338,1.427351065979116,5.692749372083663,4.95199138004616
2.920161243983457,1.1857301018406337,4.783077469107253,3.574086968751093
1.104054633993059,1.9973874014802535,9.362639382700069,2.2571877510867377
3.598529244623971,1.4220106557575003,9.932354331781866,5.170411596868216
2.547107265156097,1.5602630977721068,7.755822100258494,4.057102088915952
4.563016604954816,1.741312655652038,8.043026746487246,8.13866581792738
3.024012782927966,1.6277231474518286,9.666528344062511,4.993559299570884
2.3303800173531224,1.9086967032163296,7.054426982846113,4.620321640608847
4.99650969402173,1.0679924701449377,6.356704075701866,5.413181916086352
3.4469495391217064,1.2298971247946953,9.985062848822304,4.271923483108127
2.5601289242314427,1.2293936385160873,8.485838001457495,3.1809659447562084
2.6775695573851137,1.1273579694327132,7.7431715612399294,3.051090430151148
4.295600483741941,1.5185431415337889,6.551257779559936,6.705684902106536
2.706938263200574,1.4316463983845802,7.532477653389112,3.947330883928778
4.431507648926267,1.925722544306128,7.312669246524159,8.8460954490438
2.1868757305538904,1.1576598885103644,6.643752222936247,2.5709897864980062
3.0621059945800866,1.7626594359330388,3.737354617316966,6.120980624359298
4.986415335358293,1.2812060414354227,4.452395406223983,6.670775340983534
4.776283216166782,1.765981703392277,7.428449515971665,8.683786544693687
2.865210372006047,1.735262475775862,3.333498896624904,5.823050697337908
1.1350731659844744,1.2297529539176133,8.013925111332679,1.412590154440168
2.187441235473516,1.9212561399276904,4.710837734389136,4.602830067785962
1.3040234934464356,1.1866874919824904,3.388671523856222,1.6520819346770812
1.688387128043379,1.3324681661475315,9.157405478130409,2.273923015064222
1.8960760622349304,1.200165827924571,7.791628019779319,2.3030913792097074
1.6484369367648308,1.486116160639145,8.25917741489349,2.4904161523197823
4.168893767470829,1.3764868568799344,7.299242743722832,5.843267707754724
2.668545351231387,1.1039961982713158,5.481557742395032,3.007695549283777
1.6621686742225914,1.358658222927544,8.550758268356327,2.287378542400074
1.41369605960189,1.873744547774557,6.196546232921117,2.779002109242795
