n_rho,mom,B,kb,T,M
3.523327032186521,4.713172998438209,3.4105757909106518,1.333208054042761,2.2565652989583733,16.605290717233363
4.563189169757637,4.337148155564739,4.351492775322151,1.011409020903297,2.019362152290636,19.79122711854822
3.810885072156829,1.153920467424468,3.684887785284511,3.818168659134426,2.091143613152063,2.143007387769843
3.8845372232670736,2.661705049196164,2.5063218480021816,3.870225312230354,3.1551547911508955,5.146484259440451
4.914473868103411,2.2735133360585045,4.912474886420654,1.1818912202176557,4.87712039461403,10.718830340832168
4.192616230620626,3.522923852284848,1.028598331101264,4.169790000155524,1.539182394347479,7.553311579211197
1.2509661132573928,1.0273600007802624,4.791519364994283,3.0911495945406275,1.4081781792727923,1.0427047011662431
3.550464356111009,1.158787352957321,4.719706667631087,3.161905734141057,3.524805651867269,1.8711059780691808
1.96605360727346,3.3909282025953926,1.892120013625332,4.487021874907132,3.2331477160613598,2.770172905207306
2.047576043775269,4.195941756850987,3.237915221660717,2.332948412254352,1.9618670096428992,8.546256778926773
4.068068547734054,4.502765533476576,1.0318032531070696,1.819823908392011,2.972485892446582,12.743060905909267
2.3443910256076466,2.003453480681376,4.673608874872151,1.2741102579407628,3.694779119783607,4.524233182735146
3.513928458840695,3.591894525330316,3.476461236457169,4.863624782381324,3.2434674895240714,8.321455747837247
4.448523623626205,3.13197496246966,1.882341268725551,4.014870743908911,3.895379576398066,5.016658102081965
1.4191703164236076,3.582622935772355,4.009558388014577,1.806817241943264,2.6148054181161964,5.061160290128815
1.146545086335216,4.703330141569534,1.22355444398006,1.5230846217092422,3.251190335772501,4.431295749742035
4.563101770329126,4.075372520177359,3.5326369736133603,1.3690330075786723,4.440474169703136,18.273005927597232
3.8934449457231857,2.373418865435974,1.8045250098441383,4.426830716449388,2.987400216753121,2.892258446332635
3.1157650409451345,4.4888503010650656,4.868091346314821,4.722462483864941,3.2723985045812545,12.424604407746145
3.252527019017336,4.962741029119877,4.599336083603287,2.713265931191682,1.7421917422092503,16.139384825985815
1.6081451931601198,1.8873102378124436,4.491456909441231,1.6239677158073405,4.230601275969331,2.560636547896174
1.956179151517675,3.3305646845503665,1.6015258877815857,3.0180891322346035,2.361617755664731,4.131726747430923
2.671540691198535,2.2001058406065868,3.0009503278184297,4.288557298692516,4.038914660407928,2.137880070897052
4.14738717226348,2.520763635427486,2.218252107600649,3.533686794755108,2.7821255561101954,5.378432209596121
4.947577413742014,1.847135915924928,2.907882329558336,2.519722713456114,1.4556981941911853,8.211241286813333
4.214689350081258,2.071462481844189,1.1712367866867113,2.5839143135903666,4.4258930725704975,1.8248931914696125
1.8978126644118596,2.1265963067823503,3.8865190456727134,2.212460821512352,2.828949694459892,3.4987589890337163
1.294774738118177,3.691194894892891,4.1258553514018015,2.256080086117956,2.952010716059729,4.681602549426381
3.436129142507109,1.7083305650777376,1.3630905026701772,4.80875330310568,3.566777559491855,0.7920864023979738
3.9329630268068856,3.8978571067474457,3.0167493450307648,3.8281239202816297,4.097339153560414,9.734008198775104
2.745414014398203,1.7934763925208377,3.838520211536247,4.3545123074085215,4.820832106410448,1.5592357800975694
2.429849520258971,1.2846276645373829,3.582256852482299,1.6857552840910417,2.8427519267281323,2.3236222751465774
3.75794128756151,2.74977441762301,3.628007010444698,1.2292571583534238,1.9862709214996364,10.32765344030684
2.349012911015215,4.753666187079315,2.6074632520110432,3.9973509630329054,3.053982406858656,8.575348341529699
1.3516810952179226,4.920415510355481,4.27450055259241,4.802705076164221,3.78860407843605,5.45169243959454
2.2037362104287257,3.377969679610996,1.338391595773214,3.3787173794210936,4.070235288798072,2.3627624404920518
2.0549588593332286,2.4280495638208275,1.4380287530531262,1.1889037707061472,3.4960647416073463,3.421973590431272
2.196155100017969,3.308543373257057,4.565510090227426,2.4540322409584387,3.502555611147983,6.846149519194508
4.747559018125262,1.1325528829239322,1.855661766766025,2.383682241546455,2.175076583024905,2.067514366145206
4.200743926871093,3.48924455198786,4.5080621105022605,1.2286985075713388,3.480681988835762,14.638709972437466
3.2050232853459875,4.676273653165291,3.846275082666071,3.791357212882003,4.541420441056424,11.685830302065234
4.6639287731575205,3.955558505596601,4.9772323192697705,4.062937531051624,1.312254936464596,18.42556970660359
4.005481857465041,1.690713009708928,4.6931490828320745,4.837781297470798,4.381877304809992,2.422747242419635
1.9464882256487572,3.838575220486395,2.0868916730258382,3.26272782467174,2.589088760148763,5.521683551424931
4.602861699729454,2.8916072353535007,4.698810040478686,1.90168465991444,3.930814647944979,12.625575965357871
4.394136380993392,4.231835867154545,3.7354169221577473,3.3817519486658854,3.8629011428248714,15.558698381132952
4.0057626069987,2.732765103812306,3.444595672085865,2.495572343403732,4.579363297559006,7.411808126645902
3.797098646456357,2.001581373453216,4.903811368633245,4.466599363880352,2.63125433254484,5.19271933648151
2.250159986624136,3.796615761621695,4.4842593183246695,4.131982371462182,2.3880792755960014,8.017645107153312
1.5465721821789575,3.731016325582525,1.7289706932257562,3.7331945964348026,1.5099132991311262,4.707942852601671
4.645463631183127,2.279109735315209,2.834081009532948,3.804048522316565,2.157692720963725,6.9525319917881845
2.0458234765227314,3.6930047033301023,1.681464502098931,3.8712782824383023,4.978428169537424,2.353393438299623
1.8903173743165684,4.977407735821871,1.3507931747968471,1.2785188626509996,2.539424549194413,9.114439975021805
3.354578196689773,1.204564336544068,1.9856920338695825,3.3199926817272374,1.0779962755877617,2.3593323978621634
3.2271912814703665,2.381545036051868,2.322151969601682,1.551082816316138,3.699266183786371,5.733370554651515
2.464736652138813,1.8703593545997688,1.0062386053768506,2.336953702920987,3.0462843705833618,1.1910921397297918
1.6967053976581543,3.04078623734267,1.3050173463300734,4.5866388968614,4.70655224546463,0.9378717160952368
4.936259495241197,4.847651093343428,4.656993671626499,3.5701370297123924,1.2401608914306037,23.92748087001706
4.895067035273133,1.7021027988487614,4.455397592402651,1.5232240167048006,2.421696182555576,8.063347945849817
4.109286654521481,3.239898479682831,2.794594334721516,4.332823241882707,2.661073746050966,8.730101179600606
2.5630955378974973,3.752212659087588,2.6571629503050884,2.21206768644526,3.13760272119402,8.588167057204931
2.3357947778596846,2.128177615482892,1.9342005424824813,3.2513402261394244,1.533342916843397,3.371051075412971
1.1487644126196734,3.077863480235592,4.629641255303447,1.6275831581473343,3.281302209119991,3.501862255464402
1.8193547146011229,1.7910852982359886,1.759061199899477,4.360721810978993,3.3507137478656537,0.6919527623255303
2.0737254630819475,3.703503445774442,3.623197347361369,3.342110208897135,2.9704140648298973,6.715774501975757
3.442669674150036,1.7140424535001646,2.5234641704640173,3.411492910949615,3.495964282191536,2.050913249988078
4.6455626788656605,3.091183941088814,4.824911815893072,1.3178958923615998,2.527011880430983,14.356588578430252
2.818648948741827,4.525395870845475,2.3357571671931265,4.426591154549383,2.9212787917368064,8.592867576486876
3.927525798621006,4.136549973731219,1.7480300524203112,4.101945985151181,3.9268808018019112,6.839644745637314
1.5046531884425285,3.623657535000832,4.649049543166571,1.2811888359325354,2.672284343011605,5.451767585039873
2.5353544819577385,1.0508592935650274,3.924764432914961,3.2230031553953102,2.308046039826226,1.3423786246909153
3.232797194881864,4.968772805368253,1.6663878954557885,2.9891415972597195,4.53161470749233,8.754566597672511
2.36034270715764,3.34542981755734,2.881134395717109,2.271424103255786,2.928846080445837,7.070902299829949
3.4106057348172656,3.748056605824187,3.683950189769039,3.256557099141993,1.6492267276476746,12.634514695314966
2.318765356205369,4.168829742272846,2.9100269792501035,1.6346781849429783,4.148414407849721,9.141152160820676
3.891300708045532,3.0717354938921786,4.8085679126226015,4.18009779759742,4.553246705693801,7.774691418017325
4.731164471729544,2.1277173631885478,4.746227161208669,3.522830216869698,1.5104982899020851,9.624141924440565
1.733201440003063,4.284416166121625,4.140758162443699,4.440742873494073,3.257885309558653,6.248692552026909
4.9186133424655045,4.999359588609751,3.344293789508053,2.9895656699882966,2.3558675958075543,24.167144480448968
3.4034875036947465,1.8824592136935865,3.8238285911172314,4.527625091817434,3.310883767854397,2.8600048707255663
2.069496285175881,1.61548526815576,4.580330362419758,1.839054251998312,2.1557719440272054,3.1869968709224223
3.23492023004801,3.714349553626739,2.073111463542881,4.1758879978963614,3.2131824299201432,6.2265347688004935
4.512150374183312,4.5858036294653015,1.2598347293088046,3.1223097164956606,3.6777482158724912,9.612740988572124
2.577167849207408,2.8551976489108406,2.666127484689973,3.809973878877099,1.5416401433811204,6.333274864555129
1.1321170495716744,4.0170237514393285,4.488596480256787,1.5170549788254988,1.198732823961658,4.547741055316208
2.0420792779933272,2.751429604847788,2.082760722189327,2.743006627981692,3.1160415807136737,3.288459915705196
4.907633096146201,4.743666907190979,1.294307230019946,1.984134709680428,3.1201158452235047,17.64904661206248
4.317759636997424,3.549182910820361,4.064981684753758,3.497770244290912,3.59671352912156,12.515428881869946
4.861372760015065,3.2154403756911885,1.0394345899457416,1.9969486656435813,3.3677265744176363,7.186314915058314
1.9801841225492804,1.0694629615125066,4.712056592148505,1.528600477490874,3.438466755151676,1.5750234108159695
2.630986367085736,1.188397699102321,2.526070163369676,2.177465371631728,2.2854920060406347,1.686323648797614
3.0859546652341403,4.351711013943088,1.6039813153312048,2.9642638133713235,1.9275303685411167,11.282335247681813
4.336132047136555,4.639026261615066,4.719215988810296,4.506500032479158,1.8214879425275687,19.92227816656109
4.695234169254631,2.654147398992268,2.7243869180883165,1.0109152296016497,2.927537237376018,12.275152200353547
1.2977192748077444,4.626985481689248,3.825253078062739,2.8832930359164264,2.7330622648378053,5.871551331023001
1.422522971254952,2.846867619080816,3.862358620067611,3.416257990613547,3.1073506369630506,3.1435132542775777
3.3987326169370764,2.778543011096923,4.73671564327678,4.143179846610199,1.172882417222349,9.360005056662285
1.789733810505176,4.459397019748614,1.8217938792052597,4.134880273425965,2.0263256219035437,5.974188658638325
1.233676440262164,1.230589074232745,1.3731933166396075,3.399209516376561,2.041644800540968,0.3625223526307825
2.320323721172423,2.6796524690593038,3.300816328395284,2.7795495665470398,2.818265078960484,5.040788251311008
1.9942186779216664,3.614708231754893,4.956248584394501,2.8639552783852995,1.953480516581206,7.184709392492252
2.509244347432685,2.8581380663573253,2.81982923070319,4.414988140778004,4.854099195672102,2.5767367585055574
4.78074829850719,4.11578759607322,1.8103089908432075,3.1302635812204374,2.377087801713161,14.99656463592804
4.710977268869946,3.300695638796897,4.18648179123727,4.3864617202679685,4.624286324947461,9.210286337836504
2.849752552006032,2.1506806828016023,3.359389354927837,3.437550566921576,3.353662109297368,3.4063481664211053
2.113965831987747,3.664772000096697,1.425708009122237,4.734115940004582,4.988975575198774,1.6864263242180846
1.1272527905919063,2.636040336827772,3.1481841215280126,4.181770305341141,3.516626173283904,1.5189512097148452
1.497581956316941,2.632506642442872,1.810139592756048,4.767158036942497,3.774323482570112,1.0203569181881564
4.52044917363418,3.421104192561747,2.132397166712959,2.5010444349344017,3.739370441306625,10.094379165998802
2.172427455944129,4.206329630653153,3.8454967321480074,1.6605911483783684,3.9759976114492415,9.002829966356252
1.7781497497415328,4.849932235432041,3.5494835699657874,4.05283490779154,3.807914930680282,6.950735060963366
1.118654631427582,2.6935253027484705,1.1798868956797648,2.617322113459728,1.641917687161424,1.8948278247893564
2.078906963782879,1.9399699945718705,3.792759249110658,4.607128987772404,2.299462217220213,2.423387392119825
1.6751762733604076,4.846666065589919,3.996140298048038,2.2838193609645163,3.142500434140832,8.045812979525094
2.34319170986434,3.849372053042268,1.2675257004143772,2.227845038110111,4.251949182277887,4.27442658845506
4.8178863339009,4.101178029156079,4.362445542637822,3.7730534669815983,1.718651109707483,19.601036126384034
3.472087289863491,4.24516931726029,4.856790611802746,4.932626890954859,2.750211642137092,13.393446816450352
1.96342612620578,1.730640892189101,2.150654089069023,4.633496146329208,3.003749247287652,0.8876520753936671
1.2107164687158352,2.970834760895637,3.156962489525968,4.231739370050523,1.0835996182602794,3.478477744538431
3.782199611011533,2.940987022471249,4.5905757891039976,2.328880842884772,4.832307783228249,9.271921938171946
2.250886469694544,1.1619092112493736,2.3704329805834305,1.1247610445206964,4.038535649279663,1.4163167706375557
1.3758755562396154,1.0683420525861842,4.458472052857241,1.8524911449312675,1.6823771436237869,1.337817366166396
3.690688695517777,2.5656457325464697,1.9638445679334369,1.3238346704764323,4.20386025444844,6.807247027469475
4.515333956218958,3.112262982580446,3.318426468835673,4.528411509184027,2.126024992859365,11.108697213120909
3.811337256821496,1.4362051563666962,2.5536299501065987,2.8606492365388845,1.7358430784194343,3.4391638543402965
4.450291231921742,3.387014654970544,4.401991120477336,2.917531257333646,3.019140827149174,14.085665664035345
4.594728210322326,1.5378385925049185,1.163778664985375,4.35520491134849,2.001977464165624,1.4303547967051438
1.4899103132632856,4.98105040534595,3.782716138515602,2.3039542773131854,3.788815625576522,7.225917429109868
4.996013115083974,4.780876940258116,2.611277550509156,4.7087300982727465,3.234247988703537,16.121062561543187
4.115954244652185,2.4502997126104384,1.2126493616104996,2.8864352493377248,2.3649505825497226,4.132218034351957
4.230663567204175,2.135246370894902,4.387279865156168,3.7002488571018,1.376065448777343,8.588852951530527
3.236824241605979,1.4747294975258036,4.367652081975975,1.2028986825785477,2.87456068134462,4.5487752524054175
1.5007182571276498,3.639816129914649,3.914717545537081,4.745671714994206,3.4756793237916037,3.814024365171854
4.334542191269122,2.8873297923578964,1.8887751356804128,3.958973455551624,4.651027298979349,3.601968700885035
4.430384774922377,2.6881682977315178,3.5927446552677758,1.0186126152188335,1.8271742184222024,11.908879098388814
1.748563995890959,4.312817833205232,2.641079842438278,1.1268425559403197,4.8753676575154685,7.3063986498621984
4.845225186066664,3.2032380415271025,2.281096137695476,3.72506736822908,4.3050284082505454,6.619838528917766
4.515654756849894,2.536487880583787,4.66837035739087,1.5127238718783973,1.6214977569786029,11.452435163587891
3.246506693465077,2.1118966495534464,4.338857934484574,1.0788881140800983,3.859332047474172,6.690202239869431
2.029435840107478,4.772029996389321,1.634927780644886,3.85976017662622,2.8854305301880294,5.856314227078402
2.194678728377901,3.9537358436610095,3.937843945844001,2.582748388082877,4.483305983733258,7.573158091953982
1.3995822608984545,2.788760569154487,1.0481376571921692,3.1371835892238065,3.2222013766976936,1.098178942895915
4.768734233589091,2.385406471367433,3.87641612863298,2.3151722800117525,4.271337588952974,8.337581582297846
1.6068246290203263,2.8815824692845653,4.214943520457995,2.709159916009741,3.604776385559191,3.919475565924376
4.598866788279404,1.6373532065214804,2.762270686167914,3.605444113913941,2.109787690535793,4.014846859201216
1.2474510290444498,2.693008048368691,4.431935711401227,1.1293801432321993,3.1141777283103966,3.3518230313611186
3.564089940769459,4.269488821472093,2.494453779149805,1.447288471980155,1.4428285305555455,15.215711274405212
1.0097082812534213,3.060141804766993,4.374063721596133,1.9845970374881492,4.49648927180213,2.7967525507428688
4.106278406687807,2.157375171815576,4.847773679893095,1.5916878917995647,3.662841516975933,8.381896515190697
4.045407358238083,3.187315332389802,2.562041246758455,2.378019647676806,2.767498180514829,10.904304076905143
3.442327005393388,4.386760333527569,3.5993544709469725,3.749656360806709,2.859825350263548,13.591229167450848
4.214361185789146,4.601939666861101,3.672946710265432,2.938524127648201,1.9291329164276645,19.29476075759508
3.6336099246233258,2.278632934014253,3.721021204355904,2.747513582429165,3.280620415916195,6.0899680441122666
1.1669446898397928,3.702936683707087,1.694546184443399,1.822767960504771,4.370596159967254,2.8392793371506424
4.934117480933882,3.689575692749013,3.552131898211142,4.094580640529352,2.237953989570754,16.233458163593415
4.283984648210377,4.856429981567428,3.042841103231708,4.6840609969007225,1.5246738527954813,20.15164804352421
1.5253938281217585,3.945341323660486,2.81146154472695,2.384086511238838,4.03176615107958,4.929321960697979
2.463586524799358,4.248004761688337,2.1636139501131963,3.048319813916139,1.1267922798918706,10.366580563849018
4.168923392777856,3.0688383796596503,4.39068039857454,3.437194781204344,1.3225892845674112,12.725771700896194
2.3227075893297258,4.607459269269272,4.078179414652361,4.976568321960235,3.7669760740324274,8.160807911467867
2.9604751129214097,2.6426687700733726,2.90706155140558,3.809401078963496,1.3630809908877648,7.051969407699713
4.1903828530127125,1.6091454363063709,1.950282673286026,3.588169392341488,3.452555878026295,1.6725331462065012
2.9737210585115426,3.72680821141006,1.5731901909951715,3.1170411444619823,4.5009573735013895,4.37934021432664
3.799443326031741,3.8922053584852097,1.6744767512906482,2.645414916998768,4.758282239429198,7.038768478050423
2.9945216416419624,4.94438887304133,4.852732436393836,1.346317345114743,2.3563888518814013,14.80607150188396
3.802985614755885,2.672874046247467,1.936519195192444,4.110773655084183,4.3670573527167225,2.852228715219022
4.430273514193969,2.919528251336593,1.6782557486877103,2.0428819536167304,3.659946645247512,7.440329574024384
