p_d,Ef,t,h,omega,omega_0,prob
1.1312089952905902,1.1939606770638096,2.2349599961316606,2.5541331666231994,2.7900927114298244,1.6761066998769274,4.300522795231469
1.756373309342754,2.4066069742657046,1.4753627549683868,1.8412055453913396,2.9872528831024976,4.736266796892072,11.803906622691926
1.432597013855586,1.1573397406931685,2.0654728161453506,2.168097707851719,2.945723428720571,3.310426447765176,9.463922722574925
2.63755093502742,2.625816672882212,1.2724405449884824,1.11995049042225,4.833895624514151,3.541197552341622,39.25146735251764
2.3528087726877045,1.4417395714159325,2.817561726150073,2.185246445058912,2.4103518213227835,4.615374516066415,0.0035268875220182
2.8423832005390963,1.636272741424699,2.769850726390489,1.8133784320072333,4.845476978296169,3.316691471495277,7.2683033146338545
2.457513066673352,2.2596425963399023,2.075420799207386,2.41314452499652,4.819820380964785,1.5473755134949094,0.1646302732441599
2.11056915774758,2.7786200856957706,1.1122641354491525,1.7607068801205503,1.8722585862112064,2.22626740423339,22.977942769699663
1.4263295951273307,2.379148647070773,1.3473977290839565,2.1718622936556646,3.772191653577312,4.970852317977748,10.59107758750828
1.1191276027398855,2.3132623378299173,2.49814875300766,2.2692012992452817,1.5452999942900831,3.524363198700095,1.128895302965762
1.7346623920840796,2.548518930503003,2.3216984858074685,2.6794185380903475,4.770932238889804,2.5436577827138165,1.0031450748041837
2.3283352813856766,2.5125413367304743,2.633359152378019,2.6284757136177417,1.690411531580879,4.035166042918412,0.0113814853134738
2.5834083517641,1.185155258505408,2.3031833514519016,2.876783363285716,2.8889528787191687,1.5515748619021186,6.487168936451695
1.335312152626332,1.1247052421504256,2.106900181912537,2.8015987507709186,1.372600642741542,3.556532341703857,0.744651079430711
2.5161740827092185,2.9542976041349984,2.8687109165790163,1.4182556022668371,3.6873547050214337,4.776771310886209,38.68801171612438
2.5359050053062164,2.414755552558812,1.540168541825678,1.5180915811242557,4.324025542937706,3.512129522399281,34.20660435187231
2.5235738504743903,2.869426361636976,2.305580110064485,1.3875763943324049,2.967540872741956,4.249452046029012,34.31899520519572
2.877676317387904,2.128945328777072,1.3441649273686294,2.6318216533310625,4.995180060561188,3.317932270453135,12.622468931236243
2.419965222253176,1.3163365683780153,1.2844976480634076,2.2812288319875424,1.1955419521432655,4.6618082338949005,1.429274740034673
1.372796832021156,2.896694590111066,2.428800517448126,1.2387355688864137,3.6490352949247886,4.512600033797115,33.466369551933965
1.667281762980772,2.4816504799331134,2.4685222948996763,2.0680229632731413,2.6360419989375163,1.28455003250475,11.047200229323671
